date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
19670721,0.0787,1.0502,-0.0224,3.0881,-0.3715,0.2422
19670728,0.0787,0.5827,0.9636,-0.7067,-0.8569,0.1310
19670804,0.0720,1.3294,-0.4510,-0.0023,-0.5038,-0.7617
19670811,0.0703,-0.7051,-0.1282,1.4094,-0.1113,0.4458
19670818,0.0703,-0.3491,0.2905,0.8272,-0.1308,0.5429
19670825,0.0703,-2.0745,0.1703,-0.0342,0.0199,0.0164
19670901,0.0721,1.3642,0.9234,-0.7469,-0.2529,0.0942
19670908,0.0635,0.6584,0.3832,0.3840,0.1512,-0.1151
19670915,0.0793,1.8299,0.0669,0.9919,0.0722,-1.1142
19670922,0.0793,0.7084,0.5123,-0.3344,0.1950,0.4295
19670929,0.0793,-0.2676,0.2940,-0.9566,0.4969,-0.1021
19671006,0.0828,0.5737,0.7713,-1.1447,0.6766,-0.2544
19671013,0.0828,-1.3651,0.9482,0.1587,0.2460,0.4540
19671020,0.0828,-0.7779,-0.9154,-0.4270,1.3869,-0.5245
19671027,0.0828,-0.4557,-0.1205,-1.2557,0.8421,0.0545
19671103,0.0843,-3.2085,0.6236,-0.1713,-0.4750,0.2473
19671110,0.0682,0.3036,-0.6575,0.1728,0.9541,0.4845
19671117,0.0853,0.6701,-1.1327,-1.6264,-0.1723,-0.2957
19671124,0.0682,1.1664,0.4083,-0.8964,0.3643,-0.0483
19671201,0.0860,1.0037,1.4311,0.0677,0.6449,0.3985
19671208,0.0890,0.9121,0.6247,-0.4839,1.2636,0.7370
19671215,0.0890,-0.1704,1.7604,-0.2873,-0.4491,0.1123
19671222,0.0890,0.2957,1.1557,1.4856,0.3765,0.5609
19671229,0.0712,1.4168,0.4377,-0.5375,-0.7813,-0.0884
19680105,0.0714,-0.4774,1.7832,3.0371,-2.5095,0.0367
19680112,0.0893,1.1551,2.3916,-0.3316,-0.0041,-0.8692
19680119,0.0893,-1.1614,2.0491,0.5412,0.6865,1.1943
19680126,0.0893,-2.0331,0.4244,0.7771,-0.0231,0.8098
19680202,0.0940,-1.5862,-1.2665,0.9531,-1.3898,0.4738
19680209,0.1011,-2.8336,-1.8493,1.3797,-1.0028,1.4325
19680216,0.0809,0.0310,0.1300,0.5764,0.5984,0.6744
19680223,0.0809,0.9072,0.4056,-0.2586,0.9830,0.9241
19680301,0.0998,-2.2385,-0.7168,1.1746,-0.7920,0.1737
19680308,0.0945,-0.4702,-0.8899,0.2520,-0.1824,0.4988
19680315,0.0945,-0.0074,-0.4585,-0.5400,1.1683,-0.1762
19680322,0.0945,-0.8824,-0.3930,-0.3248,0.1115,0.4779
19680329,0.0945,2.0248,0.1484,-0.8102,0.7143,0.3611
19680405,0.1064,3.4047,-0.5089,-0.8767,0.8867,-0.6664
19680411,0.0638,3.4490,0.8462,-0.9309,-0.3167,-0.1529
19680419,0.1064,-0.2821,2.4707,-0.2341,0.5966,-0.7026
19680426,0.1064,1.7558,1.6951,0.4262,2.2928,0.0277
19680503,0.1062,1.4701,0.2260,-0.7858,0.3010,-0.2697
19680510,0.1060,0.2646,1.8321,-0.3047,0.0687,-0.2570
19680517,0.1060,-1.3262,1.7937,0.2605,0.2439,0.9256
19680524,0.1060,0.6115,2.0141,-1.4922,0.4231,-0.6257
19680531,0.0848,1.6676,0.9159,-0.7128,0.6760,-0.2644
19680607,0.1303,2.8937,0.5176,-0.5549,-0.7242,-1.1112
19680614,0.1042,-0.2591,-0.3021,1.0118,0.6879,0.3310
19680621,0.1042,-0.5917,-0.4679,1.1189,-0.5730,0.4628
19680628,0.1042,-1.3286,-0.1936,0.8496,0.1964,0.2272
19680703,0.0844,1.4316,0.7060,-0.4072,-0.4676,-0.4039
19680712,0.1125,1.3798,0.2173,0.5382,-0.5559,0.4993
19680719,0.1125,-1.9779,0.1021,1.8659,-0.2863,2.4755
19680726,0.1125,-2.6970,-1.3846,1.1592,-0.2831,0.6873
19680802,0.1059,-1.8635,-0.9455,-0.1528,-0.3944,0.4766
19680809,0.0993,0.6219,0.7113,-0.3761,-0.7855,-0.1727
19680816,0.0993,1.6356,0.9189,-0.4702,-0.0887,0.5039
19680823,0.0993,0.0573,0.3491,0.3147,-0.3425,0.7391
19680830,0.0993,0.1330,0.3691,0.7889,0.4413,0.2659
19680906,0.0987,2.1209,-0.3608,0.3760,-0.7628,-0.0918
19680913,0.0987,-0.2126,1.0157,-0.3130,-0.4396,0.3938
19680920,0.0987,0.8878,-0.4068,-0.6716,-1.3998,-0.8556
19680927,0.0987,0.8008,0.7016,-0.0640,-0.5314,-0.7543
19681004,0.0978,1.1792,0.2226,0.6663,-0.2458,0.2495
19681011,0.0975,-0.5032,0.2556,0.2627,0.2634,-0.4620
19681018,0.0975,1.5310,-0.6443,0.6761,-0.0773,1.2669
19681025,0.0975,-0.5143,0.5937,0.3451,0.0613,0.7405
19681101,0.0993,-1.2018,-0.8255,0.7918,0.4171,0.9855
19681108,0.1047,0.9885,0.0630,0.4494,0.3401,0.0947
19681115,0.1047,1.9762,1.7588,-0.9427,0.1213,-0.1100
19681122,0.1047,0.8449,0.8001,-0.8598,-0.6122,-0.2426
19681129,0.1047,1.9110,0.1991,0.0268,-0.3894,-0.7826
19681206,0.0943,-0.3192,1.1199,1.0676,0.8351,-0.4342
19681213,0.0943,-0.1331,0.8994,0.3829,-1.2721,-0.6014
19681220,0.0943,-1.1037,0.5654,0.3051,0.0784,-0.1204
19681227,0.0943,-1.4569,0.8638,0.3511,-0.3989,0.1283
19690103,0.0927,-0.8959,-0.0587,0.9751,-0.1115,-0.3299
19690110,0.1140,-3.2693,-1.1848,-0.4535,-0.2244,-0.0408
19690117,0.1140,1.0608,0.5607,0.5547,0.8102,0.6968
19690124,0.1140,0.5178,0.7961,0.2305,-0.4122,-0.1142
19690131,0.1140,0.4299,-0.5992,0.4448,-0.1315,0.3833
19690207,0.1281,0.4400,-0.8338,0.0125,-0.3025,0.7650
19690214,0.1025,-0.0542,-0.1831,0.0555,0.8188,0.5075
19690220,0.1025,-4.1736,-1.3721,0.4481,0.0267,0.4094
19690228,0.1281,-2.1241,-1.6201,0.3452,0.5416,0.7331
19690307,0.1198,0.1172,-0.8199,0.2893,0.1950,0.9078
19690314,0.1198,-0.7785,-0.2233,0.8715,0.3349,0.6550
19690321,0.1198,1.6351,0.8810,-0.9289,0.7145,0.2197
19690328,0.1198,1.6809,-0.0466,0.0586,0.7005,0.7003
19690403,0.0693,-0.9267,0.3704,0.3047,0.5931,0.0051
19690411,0.1155,0.6670,-0.6655,0.0413,0.3172,0.2520
19690418,0.1155,-0.6325,-0.0746,0.6081,0.0104,-0.0595
19690425,0.1155,0.3660,-0.3372,-0.4038,0.1778,0.0538
19690502,0.1189,2.4215,0.6558,0.2993,0.6537,-0.2620
19690509,0.1239,1.1233,0.0402,0.0709,-0.1226,-0.1054
19690516,0.1239,0.5954,-0.6595,0.5646,0.4935,-0.0255
19690523,0.1239,-1.1493,0.6821,0.6059,0.3565,0.4056
19690529,0.0991,-1.0397,0.1846,-0.1855,-0.6120,-0.4865
19690606,0.1221,-1.5327,-0.4370,0.0043,0.9186,-0.0709
19690613,0.1221,-3.8251,-1.3096,0.0002,0.0981,0.2520
19690620,0.1221,-2.7260,-2.4575,0.5974,1.5982,2.3637
19690627,0.1221,0.2691,-1.0214,-0.8597,1.0698,0.2376
19690703,0.1031,2.5338,1.1853,-1.3299,-0.6763,-0.7313
19690711,0.1312,-4.1266,-0.4519,1.8285,1.1697,2.1775
19690718,0.1312,-1.0143,-0.6374,0.3218,0.2375,0.5503
19690725,0.1049,-3.5217,-0.5100,1.3500,1.4226,1.8292
19690801,0.1329,1.4583,-1.7077,-1.2393,-0.4846,-0.9824
19690808,0.1399,0.5824,-0.2057,-0.1827,0.8172,0.1897
19690815,0.1399,0.1452,-0.1205,-0.9862,0.5686,-0.4952
19690822,0.1399,2.1446,0.5398,-0.5690,-0.3037,-0.4551
19690829,0.1399,-0.3003,0.1019,0.0629,-0.4712,-0.6391
19690905,0.1113,-2.3131,0.0257,0.9327,0.9527,1.0106
19690912,0.1391,0.6534,-0.6295,-0.6947,-0.2337,0.1003
19690919,0.1391,1.0609,0.1583,-0.5904,0.3905,0.6100
19690926,0.1391,-1.2403,1.0462,0.3738,0.7424,1.0290
19691003,0.1301,-0.9028,-0.1254,-0.5127,0.0276,-0.3447
19691010,0.1242,0.3810,-0.3543,-1.0087,0.5715,-0.1955
19691017,0.1242,3.2128,2.0920,0.3907,-0.9207,-0.9523
19691024,0.1242,2.0835,0.7254,0.0115,-0.2359,0.0718
19691031,0.1242,-0.7982,0.5118,-0.1878,-0.2246,0.4053
19691107,0.1447,1.2462,-0.0766,0.1599,0.5806,0.1404
19691114,0.1447,-1.5019,-0.6119,0.5819,0.6254,1.5502
19691121,0.1447,-3.2108,-1.1787,1.1769,0.8164,0.8027
19691128,0.1157,-0.3472,-0.1017,-1.8663,0.7072,-0.1756
19691205,0.1326,-2.6258,-1.0706,1.2185,2.0046,2.0030
19691212,0.1326,-1.1523,-0.6793,-0.1315,1.8136,1.1082
19691219,0.1326,0.5757,-0.9833,-0.8674,0.3771,-0.3884
19691226,0.1060,0.4471,-0.7981,-0.4632,-1.0057,-1.2166
19700102,0.1070,1.3797,0.7527,-0.4637,-0.8857,-0.7968
19700109,0.1373,-0.5659,1.9423,0.2355,-1.0164,1.5153
19700116,0.1373,-1.8432,-0.0572,1.1967,1.5426,1.6467
19700123,0.1373,-2.0160,0.6296,1.0216,0.0056,0.6324
19700130,0.1373,-4.9017,0.2029,1.1822,-0.5033,0.7635
19700206,0.1619,1.5259,-0.8796,-0.1311,-0.4088,0.3508
19700213,0.1619,0.3238,-0.0389,0.2725,0.6279,1.2748
19700220,0.1619,1.5179,-1.2244,0.5124,-0.9085,-0.8775
19700227,0.1295,1.6429,-0.2647,1.0920,-1.3336,-0.6306
19700306,0.1317,-0.2581,0.6300,1.7708,-0.6603,1.6154
19700313,0.1317,-2.2080,-0.4569,0.9871,-0.1361,0.8682
19700320,0.1317,-1.3007,-1.0269,0.9899,-0.0202,1.0703
19700326,0.1053,3.1381,-0.4098,-0.3626,-0.0997,-0.0665
19700403,0.1246,-0.7732,0.1826,1.2257,0.2676,0.0348
19700410,0.1199,-1.9224,-1.3433,1.6126,0.0050,2.4752
19700417,0.1199,-3.5071,-1.3876,1.3142,0.0369,2.4416
19700424,0.1199,-3.9477,-1.3447,1.0759,0.6412,1.3734
19700501,0.1223,-1.7914,-1.4040,0.9385,-0.7333,0.0401
19700508,0.1318,-2.4972,0.2317,1.0962,0.1364,0.9058
19700515,0.1318,-3.5007,-1.7517,1.6017,-0.3031,1.7367
19700522,0.1318,-6.5558,-1.4759,2.9865,0.1567,2.1307
19700529,0.1318,6.0196,-0.2534,-3.2611,0.4239,-1.6940
19700605,0.1258,-0.2626,1.2074,0.5242,0.7547,-0.0317
19700612,0.1258,-2.7342,-0.4657,1.3631,0.5207,1.2131
19700619,0.1258,3.5743,-1.3431,-1.5762,0.1324,0.5109
19700626,0.1258,-5.0903,-0.7714,2.5502,0.9858,1.5506
19700702,0.0946,-1.0999,-1.5239,1.5915,0.8839,1.7327
19700710,0.1108,2.2149,-1.3500,0.2214,0.2006,-0.3125
19700717,0.1108,3.8435,-0.8404,0.3787,-1.6032,-1.1635
19700724,0.1108,0.2187,0.8415,0.4465,-0.1911,-0.3664
19700731,0.1108,0.4569,1.8210,0.5277,0.1428,-0.2561
19700807,0.1193,-1.0525,-0.2117,1.4239,-0.0280,1.0879
19700814,0.1193,-2.9577,-0.1030,1.7561,0.3877,0.7594
19700821,0.1193,5.0770,-2.8837,-1.3820,-1.6719,-1.3068
19700828,0.1193,3.9535,3.1484,-2.9384,-1.7405,-2.7136
19700904,0.1196,1.5147,1.5778,-1.8724,-1.4039,-1.5048
19700911,0.0957,-0.1688,2.3932,-0.3885,-0.2143,-1.1111
19700918,0.1196,0.3031,0.8854,-0.7024,0.2679,-0.1642
19700925,0.1196,1.7380,1.3259,-1.3910,0.5018,-1.4794
19701002,0.1167,1.5800,1.1747,-0.4539,-0.2614,-1.3682
19701009,0.1124,-0.5057,-0.0970,1.3707,0.7314,2.1931
19701016,0.1124,-1.3048,-0.7813,1.6669,0.9688,1.5906
19701023,0.1124,-0.8835,-1.3571,0.3620,1.6804,-0.0286
19701030,0.1124,-0.7813,-0.9064,0.2194,1.9065,0.7800
19701106,0.1120,1.2514,-0.4043,1.3443,0.1952,1.1204
19701113,0.1120,-1.1554,-0.7463,0.6524,0.5432,1.2570
19701120,0.1120,0.1689,-2.0663,0.3279,1.0761,0.9987
19701127,0.0896,2.6333,-0.8063,-0.5770,0.0917,0.1539
19701204,0.0911,4.2852,0.7733,-0.3380,-1.4758,-1.6838
19701211,0.0859,0.7905,-0.1419,-0.5806,0.2324,0.2499
19701218,0.0859,-0.1005,-0.0577,0.3242,0.3781,1.1310
19701224,0.0687,0.6664,1.6242,-0.3801,-1.2146,-0.9994
19701231,0.0687,1.7347,0.9330,0.1770,-0.2355,-0.5758
19710108,0.0943,0.4790,2.6146,0.6264,-1.8988,-0.1358
19710115,0.0943,1.3696,1.7553,0.0090,-1.7208,-1.7005
19710122,0.0943,1.8659,0.7391,-0.2074,-0.3047,-0.7805
19710129,0.0943,1.0405,1.3197,-0.7264,-0.0046,-0.3400
19710205,0.0879,1.6245,1.7797,-0.7953,-0.2425,-0.6476
19710212,0.0879,1.5682,0.9163,-0.2215,0.0701,-0.4648
19710219,0.0703,-1.8481,-0.5491,1.3876,0.9354,1.3882
19710226,0.0879,0.0804,-0.6266,0.1684,1.5515,0.3856
19710305,0.0635,2.4756,1.2437,-1.2748,0.1099,-0.5621
19710312,0.0635,0.6358,0.6341,-0.5977,-0.0432,-0.4887
19710319,0.0635,1.5561,0.4291,-0.3642,0.9773,-0.1546
19710326,0.0635,-0.9446,0.4054,0.8197,0.4943,0.5837
19710402,0.0648,0.6385,0.1283,-0.8973,0.4487,-0.0621
19710408,0.0533,1.3394,-0.0368,0.7779,-0.4909,-0.2216
19710416,0.0667,1.2167,-0.3617,0.9241,-0.7723,0.6454
19710423,0.0667,0.4276,-0.4328,0.1275,0.0460,-0.3697
19710430,0.0667,-0.1254,0.3145,-0.1522,0.0400,-0.5603
19710507,0.0781,-0.9562,-0.5986,0.1776,-0.5232,-0.4088
19710514,0.0781,-0.5905,-0.1568,0.8863,0.6850,0.5173
19710521,0.0781,-1.3516,-0.6423,0.1756,0.9392,0.6518
19710528,0.0781,-1.1620,-0.0808,-0.3251,0.3306,0.1586
19710604,0.0636,1.9012,0.5561,-0.8868,0.0861,0.0514
19710611,0.0796,-0.3988,-0.1722,0.7793,1.5866,0.6172
19710618,0.0796,-2.1800,-1.3463,0.2198,2.4938,1.0306
19710625,0.0796,-1.0357,-0.0424,-0.2578,0.4220,0.1952
19710702,0.0883,1.9208,0.8160,-0.3733,0.0880,0.3515
19710709,0.0812,1.0877,0.5507,0.0607,0.4633,0.2486
19710716,0.1015,-1.5323,0.4821,0.7073,0.7193,-0.2669
19710723,0.1015,-0.3791,-0.5356,0.8200,0.3250,0.3882
19710730,0.1015,-3.8381,-0.7628,0.8065,0.7642,0.4188
19710806,0.1009,-1.2397,-0.4865,0.7878,-0.1419,-0.3852
19710813,0.1009,1.5535,-1.0214,-0.4770,-0.5868,0.2890
19710820,0.1009,2.5957,0.1566,0.6679,-1.8170,-0.2330
19710827,0.1009,2.0387,-0.9525,-0.2402,-1.6681,-0.1652
19710903,0.0921,0.2437,0.3181,0.0723,-0.4614,0.1164
19710910,0.0690,-0.1436,0.8529,-0.0656,0.4196,0.5442
19710917,0.0863,-0.6425,-0.3693,0.7240,1.4534,0.3070
19710924,0.0863,-1.7999,0.4239,-0.0901,1.4987,0.2832
19711001,0.0874,0.6984,-0.3083,-0.6733,0.2377,0.4033
19711008,0.0917,0.4526,-0.2797,0.6392,0.0179,0.6952
19711015,0.0917,-1.7164,-0.1533,-0.4338,0.6724,0.4934
19711022,0.0917,-2.3550,-0.0357,0.1266,0.9407,0.8191
19711029,0.0917,-1.4416,-0.7854,-1.0609,0.1886,0.3306
19711105,0.0834,0.1986,-0.8377,0.7820,1.1475,1.0589
19711112,0.0834,-2.5579,0.0759,-0.2202,0.9153,0.3545
19711119,0.0834,-0.7307,-0.8875,0.0896,0.7249,0.6003
19711126,0.0667,0.1551,-1.8809,-0.3618,-0.3998,-0.1675
19711203,0.0763,5.8711,1.3307,-0.7534,-0.3867,-0.3563
19711210,0.0715,0.9639,1.0380,-1.4117,-0.8433,-0.3423
19711217,0.0715,2.4165,-0.1430,0.2485,-0.6092,-0.7615
19711223,0.0572,0.4045,-0.3342,0.0630,-0.4115,0.0506
19711231,0.0715,1.4576,1.4799,-0.5918,0.1212,-0.3837
19720107,0.0678,1.4216,2.6033,1.8339,-4.2706,-0.2275
19720114,0.0678,0.0837,1.1342,0.0018,-0.1895,1.0002
19720121,0.0678,0.2906,0.7158,-0.6130,-0.2057,1.0301
19720128,0.0678,0.7368,1.2147,-1.3329,-1.5936,-0.3143
19720204,0.0667,1.0255,1.7024,0.2631,0.3688,0.5252
19720211,0.0664,0.1305,-0.0187,0.5144,0.4320,0.4838
19720218,0.0664,0.2520,0.1181,0.9403,0.2557,-0.4219
19720225,0.0531,0.8821,-0.5073,0.4596,-0.8359,-0.1317
19720303,0.0618,1.9169,-0.6407,0.4898,2.1378,0.2804
19720310,0.0588,0.5327,1.5859,-0.4808,0.2089,-0.3692
19720317,0.0588,-0.5989,-0.6465,1.0413,0.7590,0.3355
19720324,0.0588,-0.4181,-1.4115,-0.2231,0.5391,0.7753
19720330,0.0470,-0.3009,0.1804,0.8299,-0.4945,0.0855
19720407,0.0740,2.3355,0.0656,0.0530,0.7653,0.1789
19720414,0.0740,0.3029,1.2131,-0.0629,0.3309,-0.1522
19720421,0.0740,-1.0514,-0.5415,0.5639,-0.5193,-0.2331
19720428,0.0740,-1.2842,-0.4672,-0.3157,0.1824,0.4984
19720505,0.0668,-1.1375,-1.4853,0.2882,0.8736,0.5706
19720512,0.0668,-0.1616,-0.3536,-0.2827,-0.2732,-0.0475
19720519,0.0668,2.3355,-0.1787,-0.1581,1.0182,0.7947
19720526,0.0668,1.3623,-0.1831,-1.2080,0.9951,0.0917
19720602,0.0521,-0.7422,0.0125,-0.3769,-0.3573,-0.5550
19720609,0.0636,-2.5853,0.3177,-0.1795,0.8919,-0.0360
19720616,0.0636,1.0971,-0.3763,0.6015,1.4605,1.1037
19720623,0.0636,-0.2252,-0.3232,-0.0735,0.2394,0.5488
19720630,0.0636,-0.9859,0.4663,-0.1047,0.9707,0.4147
19720707,0.0616,1.3380,-0.0505,-0.4485,0.9996,1.0995
19720714,0.0770,-2.0077,-0.8645,0.7183,0.1042,0.3065
19720721,0.0770,-0.4035,-0.3786,0.0385,0.0262,1.2160
19720728,0.0770,0.3586,-0.3413,-0.7199,0.8220,0.3225
19720804,0.0673,2.8079,-2.0868,0.4683,0.7925,0.1917
19720811,0.0649,1.3444,-0.6890,0.5673,-0.5523,0.1670
19720818,0.0649,-0.1029,0.5027,1.0011,-0.2124,0.3902
19720825,0.0649,-1.0800,-0.3575,0.9011,-0.9669,-0.3520
19720901,0.0696,0.6216,-0.8084,0.7526,0.2387,0.1934
19720908,0.0708,-1.3649,-0.4421,0.5589,-0.3772,-0.0285
19720915,0.0885,-1.4018,0.1873,-0.2668,0.7023,0.4165
19720922,0.0885,-0.4565,-0.4245,-0.4858,0.3406,-0.2517
19720929,0.0885,1.7103,-0.8203,-1.3050,1.0267,0.2869
19721006,0.0883,-0.9925,-0.4760,-0.4337,-0.4634,0.6342
19721013,0.0883,-1.6371,-0.2157,0.6832,0.0656,0.1790
19721020,0.0883,1.0099,-1.8472,-0.9671,-0.6925,-0.0928
19721027,0.0883,1.2675,-0.1086,0.2227,0.5364,0.0322
19721103,0.0913,3.2750,-1.3461,-0.0307,-0.1367,0.0149
19721110,0.0747,-0.2944,-0.1942,1.2102,-1.6872,-0.0856
19721117,0.0933,1.4040,-0.6551,-0.0166,-0.0320,0.5837
19721124,0.0747,1.3488,-0.4378,0.7736,-1.3529,0.6676
19721201,0.0967,0.3636,1.6182,0.3942,-0.3819,-0.4685
19721208,0.1100,1.0127,0.3844,-0.6172,0.9149,-0.0620
19721215,0.1100,-0.7206,-1.4000,-0.5466,0.9149,1.0145
19721222,0.1100,-2.0140,0.0823,0.4565,0.5731,0.5316
19721229,0.0660,1.6904,-1.2406,-0.5488,0.4983,0.2156
19730105,0.0839,1.2949,1.2927,-0.1803,-1.1009,0.8291
19730112,0.1048,-0.6909,-1.0899,0.7210,-0.1550,0.0091
19730119,0.1048,-0.9015,-1.0027,-0.4965,-0.0614,1.0326
19730126,0.0839,-2.4232,-0.9263,-0.4837,0.3166,0.5224
19730202,0.1078,-2.1219,-0.8650,0.6488,0.6794,1.3557
19730209,0.1124,0.1214,-1.0329,-0.5409,0.2172,-0.3724
19730216,0.1124,-0.1837,-1.3766,0.4977,-0.1734,0.1512
19730223,0.0899,-1.8677,-0.9744,0.3839,-0.7293,0.6167
19730302,0.1105,-1.2591,-1.8614,0.1351,-0.8030,1.2940
19730309,0.1078,1.4232,0.1173,-0.2813,-0.0601,-0.1863
19730316,0.1078,-0.5857,-0.4266,-0.0928,0.2438,1.0231
19730323,0.1078,-4.4651,-0.3798,0.4614,-0.9388,1.5056
19730330,0.1078,2.2596,-0.1472,0.1107,-0.8228,0.2705
19730406,0.1248,-2.5745,-0.2246,0.8902,0.3478,0.5589
19730413,0.1248,2.2642,-1.2323,0.7548,0.0822,1.4240
19730419,0.0998,-0.2798,-0.9677,1.0610,-0.1346,1.2130
19730427,0.1248,-4.7950,-0.4224,0.5743,-0.9569,1.3017
19730504,0.1175,3.2196,-1.6397,-0.7526,-0.0249,0.1513
19730511,0.1156,-2.2157,0.5778,0.4932,1.1293,-0.3989
19730518,0.1156,-4.6129,-2.3119,0.4319,0.6978,1.5226
19730525,0.1156,3.3971,-3.3561,-1.1857,-0.4111,-0.6312
19730601,0.0949,-3.6698,0.1939,0.8350,0.0994,0.7109
19730608,0.1278,2.3209,-1.5833,-0.9834,-0.6690,0.6766
19730615,0.1278,-1.7073,1.3801,0.6327,0.1555,-0.2099
19730622,0.1278,-1.5801,-0.2257,0.0183,1.0692,1.9240
19730629,0.1278,0.3733,-0.8288,0.6293,-0.2769,0.5371
19730706,0.1242,-2.7064,1.5663,0.8704,-0.4514,-0.2529
19730713,0.1553,3.2224,2.8909,-3.7179,-0.4749,-2.3995
19730720,0.1553,3.6537,3.0087,-1.5830,1.2976,-1.4959
19730727,0.1553,2.0685,0.0389,-1.0591,0.8805,0.1305
19730803,0.1513,-2.6805,-0.3142,0.0636,0.1162,0.3852
19730810,0.1486,-1.6848,-0.8954,0.0230,0.2342,0.5383
19730817,0.1486,-2.2625,-0.0447,1.1974,-0.1892,0.5248
19730824,0.1486,-0.8763,-0.9821,0.9437,0.9936,0.4178
19730831,0.1486,2.5778,0.0951,-0.6170,0.1154,-0.4900
19730907,0.1417,0.8688,0.7314,0.9811,-0.7708,-0.3744
19730914,0.1772,-0.5302,0.1352,-0.2734,0.1860,0.7418
19730921,0.1772,3.1077,2.5424,0.2487,-0.2975,-1.9082
19730928,0.1772,1.2406,2.1126,1.1335,-0.4153,-0.0440
19731005,0.1486,1.2869,3.3321,0.4298,0.0119,0.6806
19731012,0.1486,1.1869,-0.8445,0.1702,0.0213,0.6190
19731019,0.1486,-1.2923,-1.4655,0.7249,-0.0602,0.3606
19731026,0.1486,0.4191,-1.6432,0.7716,0.7095,1.7750
19731102,0.1417,-3.7677,-0.9110,0.4394,-1.0889,-0.0704
19731109,0.1314,-2.0913,-1.6869,0.6061,-0.2345,0.6547
19731116,0.1314,-2.1295,-3.2398,0.3429,-0.0539,0.4512
19731123,0.1051,-4.3595,-1.9433,0.9603,-1.0136,0.1333
19731130,0.1314,-3.6835,-1.2575,0.4460,0.8766,1.2686
19731207,0.1736,0.1184,-2.4589,0.9172,0.4410,1.0430
19731214,0.1736,-3.3147,-1.2844,1.4536,0.7928,2.0789
19731221,0.1736,-0.1069,-0.5206,1.1474,1.1186,1.3724
19731228,0.1388,3.9290,-0.9698,-0.6272,1.2360,0.7690
19740104,0.1200,2.1991,7.3697,0.5074,-3.5087,-2.3118
19740111,0.1422,-4.8821,2.8814,1.3203,-1.1780,1.4107
19740118,0.1422,2.1463,-0.0684,-0.5931,-1.0648,-0.8109
19740125,0.1422,0.8453,0.8723,-0.8561,0.7621,-0.6649
19740201,0.1444,-1.3229,1.1826,1.0666,0.3267,0.6650
19740208,0.1528,-2.8868,0.7154,1.1477,0.2552,1.0529
19740215,0.1528,-0.4912,-0.5578,1.0018,-1.0085,0.3674
19740222,0.1222,3.1929,-1.0544,0.3053,0.0488,0.5853
19740301,0.1492,0.4514,0.8444,-0.3359,-0.4897,-0.4748
19740308,0.1349,2.1493,0.2198,-2.0454,0.3782,-0.8455
19740315,0.1349,1.4882,0.3701,-0.1051,0.9258,0.2017
19740322,0.1349,-2.1952,0.1623,0.6259,0.7613,0.6364
19740329,0.1349,-3.5680,0.2188,1.0803,0.1087,1.0381
19740405,0.1887,-1.4678,0.0091,0.2767,-0.1882,1.0330
19740411,0.1509,-1.0489,-0.0713,0.9131,0.0480,1.3196
19740419,0.1887,1.3484,-0.0340,-0.1294,0.7942,-0.4379
19740426,0.1887,-4.3315,-0.4129,1.3204,1.2503,0.7564
19740503,0.1739,1.1872,-0.2526,-0.1200,0.9257,0.3454
19740510,0.1640,-0.5415,-1.7482,0.1651,1.1396,-0.0679
