,Year_Month,credit_factor,turnover_factor
113,2000-03,0.34558951686505246,3.1951197188619718
114,2000-04,-2.945694221052908,-2.4159092570433804
115,2000-05,-8.649408958366989,-10.235055822845352
116,2000-06,12.422230174840475,5.913770426212528
117,2000-07,-9.188416235590779,-0.9987702910281948
118,2000-08,9.867643138821226,7.417307915948346
119,2000-09,-8.281128936886816,-12.53467000772146
120,2000-10,-8.1002747292929,-4.909302378413438
121,2000-11,-8.477183134558853,-16.017113269857596
122,2000-12,-0.3651321911691596,-0.5502301513176322
123,2001-01,11.25585953096413,20.911813035484883
124,2001-02,-12.589325817944985,-10.98363085824634
125,2001-03,-0.48919160465843436,0.6023141355764094
126,2001-04,9.528273011742773,11.433976652404066
127,2001-05,-3.5989858248698936,-4.861951925073149
128,2001-06,4.837075569895211,1.9945283343536069
