Phase,Year_Month,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Downturn,2011-02,2.91767394772151,3.4516738148874673,4.130587452163769,4.825834012824791,5.2768303825520215,0.88,1.5326416006731014,-0.8408,1.27,1.442,0.2497402920564884,1.3851,1.99,3.49,-1.94,-1.648,1.65
Downturn,2011-03,1.1702537493851517,1.7923097517848363,2.5936347507381488,3.566999935108716,4.486078302186724,-0.03,1.007171850657418,0.3227,-1.83,-0.1315,-1.3035998437461838,1.852,3.4,0.46,1.76,-0.9575,2.62
Downturn,2011-04,3.5205161808242735,3.2010015872256714,3.0238266444089223,3.0051457626099065,3.0887877493456006,-0.8,1.5133656298165654,1.1108,-2.43,-0.9779,0.1714401058399373,-0.878,0.04,2.9,1.01,1.5871,-0.55
Downturn,2011-05,2.329634127312419,2.5496135553561894,2.4362027782788065,2.3256284411206307,2.347527459572585,-1.59,2.0606601715322137,1.3826,-2.12,-1.0351,-0.5451383399266319,-0.8588,-0.62,-1.27,2.08,0.1308,-0.63
Downturn,2011-06,-0.9791984934843012,-0.5375843529274449,-0.13853172478398568,0.2097375306856275,0.5636315541035941,-1.53,1.0754031769244057,1.0009,-0.42,-1.1515,-3.2854505825532287,0.4599,1.78,-1.75,2.49,2.8113,0.16
Downturn,2011-07,-1.7733256178217305,-1.5334848308940385,-1.3238846789909164,-1.1468191316562737,-1.04478503365677,-1.81,-0.5406173691861249,0.6584,-0.9,-2.0383,-0.4136818041497903,-1.7834,0.18,-2.35,2.68,0.7486,-1.2
Downturn,2011-08,0.6088906192759802,1.113785171033842,1.1329014004749494,1.1949256522905338,1.244745760910847,-0.38,3.1898929501985807,2.7071,-2.36,-1.3168,-5.719378979962975,-3.7375,-0.28,-5.99,3.3,2.5889,-3.2
Downturn,2011-09,-1.469170039291423,-1.6802516108111787,-1.9811089908606028,-2.3093678621999625,-2.7663942043574474,0.24,2.0258323884142504,4.899,-1.72,0.0766,-6.893897542508887,-4.7737,-2.42,-7.59,2.04,-0.7641,-3.66
Downturn,2011-10,4.770323827971379,5.588529839364131,6.810515864776323,8.065703922014777,9.226025899722345,-0.86,-0.4590175794900064,-1.7028,0.1,-0.5881,4.928222408349314,5.1842,-1.43,11.35,-2.16,2.1402,3.46
Downturn,2011-11,1.0253042362218245,1.346849011803286,1.6694375335904343,1.9840734722668119,2.0748769802353406,1.49,-0.9522165032723962,1.2225,-0.46,1.5253,-2.7408631710112763,-1.1385,3.84,-0.28,1.86,0.5804,-0.28
Downturn,2011-12,1.9917950531964657,2.1329645863722657,2.0706853870006148,1.9647245752978826,2.0734643378441886,2.52,-2.281163044431211,-0.5716,1.63,2.6695,-1.8451895265577445,0.1386,1.81,0.74,0.98,1.1493,-0.33
