Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Expansion,1994-12,-1.3035913599072635,-1.6444325647947955,-2.063483296723767,0.5007723233426242,0.7380448978109078,-1.5161,1.0135358287520324,0.0428,-0.7775639816427371,0.2234,-1.1588342024954512,-2.01740279838053,0.5601970051078098,-0.6966,0.529079103805663,1.7245067971110484,-1.0244559012069216,-1.135706833827934,1.4017692215342341,0.5231127555975814,-0.9430549353798166,-1.1278929073950377
Expansion,1994-13,-4.487414563495906,-4.79818541830076,-5.131257011938339,0.2692999338965052,0.3846219350966962,1.9592,0.7491453791334424,0.4985,-3.1193664450860026,-2.1181,-1.5742516047868027,-3.882054418030601,0.6916736901939169,0.3279,-2.3513772475782235,5.468353350689002,2.192288981385433,-1.3062353660652648,2.150865418642072,0.18698693105586695,-1.948366521978051,0.5127737208633179
Expansion,1994-14,0.7237797727657425,1.3267356572771003,2.036010312092218,-0.7498464225940693,3.119776617940051,0.398,-0.4912483055564798,-0.6726,4.835122454800356,1.2596,1.8434798504319616,0.566237885594334,-0.091291121823378,1.1214,0.8919568841456726,-5.201642462134601,0.3968962768555497,-0.38195862070076025,1.8102747435853028,1.5095392376571042,1.2613409562197266,1.2491403785775286
Expansion,1994-15,-1.0232962931226883,-1.7590621913056603,-2.7685436935616536,1.6197311627628608,-2.4735179613808667,-0.0914,1.8935478193447208,1.3771,-6.729798512366592,-1.7179,-2.2224976302923305,-0.7510525713496641,0.1690018465108522,-0.7038,-1.5620316575139293,7.805076134505994,0.28948950067516066,0.015165573349613326,-2.376187612573219,-0.7761013980294729,-2.291387063030261,-2.2896323102660285
Expansion,1994-16,-0.971309644516849,-1.08919018857212,-1.1197863284442056,0.2457492088233204,1.803586814657332,1.0919,0.6034718261079819,0.8431,-1.720736075668361,-1.6228,-1.5954334199954068,-0.0952704198964649,1.2041474643833538,0.5176,-1.670068806610392,2.5270455539225907,2.6841404448404265,0.7571309014386609,0.9861425568510468,0.8986953953493841,-0.8678224113061266,-1.3144165495120632
Expansion,1994-17,1.9316457768826067,2.4361337897313096,3.060010500398147,0.0193042004925203,0.1882354627183113,0.1377,-0.3907477677926319,-0.3174,3.9294260911088896,1.3174,1.62942297128279,0.9670474445749866,-0.1999968995818002,0.6425,1.3533491661890995,-3.478261428528249,-1.442009528767246,0.14934060487279083,0.17373176033760257,0.6248240466907288,1.5845148566059961,1.515444959769977
Expansion,1994-18,-1.0440368810739509,-1.0694110582883276,-1.155115719440869,0.2764351545046839,0.7158138648450274,0.0966,-0.5208645722798666,0.0949,0.0466052854492193,0.5022,-0.6784931966156704,-0.6732979104003278,-0.2610891612775057,-0.4824,0.3903379547642638,0.15486868673031987,-0.505863577495522,-0.5151378065279913,1.0173682399524233,-0.4180983560965593,-0.7338210526237767,-0.6320240137995483
Expansion,1994-19,-2.171479412779531,-2.1942706525509226,-2.3728857186562147,0.5505600678504807,-2.9890828614000164,1.1884,0.0687635966181376,0.5335,-1.8512709050849785,-1.0325,-1.1554851895335894,-1.2973825136213255,0.9628874369492556,-0.0028,-0.9874604911737528,4.535765561564054,-0.4545969829353269,0.3892859577724565,-0.18977156160231165,-1.1013267551856214,0.11391263729600434,0.9556822088536729
Expansion,1994-20,1.6262757131236816,1.8452141314884372,2.123864887773585,0.1380694986088615,-0.0817610332930263,-0.1057,0.5393491722196941,0.3193,0.4236275359403629,-1.4351,-0.1516107783598119,2.1712544978420567,-0.459960361303624,-0.3437,-1.6344445068323,0.21404728644658677,0.8227609515933454,2.6208386875386513,-1.1946215511680407,0.21549320083359141,-0.9834026824472994,0.2660807051668488
Expansion,1994-21,0.3677689716248933,0.1717996070635941,0.0399532194394592,-0.2003863052526311,1.8052450087103988,0.3085,0.5304544607920514,-0.305,-1.2704669052619688,-0.168,-0.2600685586346074,0.650100542363985,0.5307442450783295,-0.1587,-0.29085983569479,0.4419396363834838,1.5048618890005043,-0.15628024183816683,-0.04906581763312133,0.037052784291972965,-0.5024474953098498,-1.5280150251430853
Expansion,1994-22,0.6073292110060802,1.1182906453477417,1.592268496945359,-0.7976280984985706,1.780624406824649,-0.0853,-0.4006200095702517,-0.5447,1.491995459749318,0.5092,0.0291961933886586,0.7309530940543985,0.2188275829664299,0.7611,0.2470693643000121,-1.8382409741022459,0.7535476834620246,0.18742277900987664,1.0025923526578782,0.030446726548324306,0.6759104478668027,-0.3554144093627041
Expansion,1994-23,-0.3132481211361337,-0.645290891914585,-1.1496356513862382,1.0637044087433267,-4.062277920547352,0.2447,1.1131125355465343,0.9645,-3.797700048907926,-0.3648,-0.3529378694871354,-0.4307123119374867,0.3501817535945806,-0.8106,-0.1912309056309791,5.296037470978145,-1.6550340309768024,-0.2669396168010786,-2.768723384379096,-1.2638933792825122,-0.376284754674921,-0.12556934387339608
Expansion,1994-24,0.4061127998563397,0.8610025967963786,1.1774954186688724,0.3502107988021974,-2.322775147532674,0.3706,0.3697564317258761,-0.0704,1.687355095595322,-0.0598,0.5606522800913227,-0.1646852254853059,-0.0401519615582657,-0.1778,0.0180283071810949,0.5111890997251993,-1.8270750834108749,0.766586265468553,-0.42353756547867444,-0.1733068429127172,0.6207521650905711,2.127102861556881
Expansion,1994-25,-3.4879428257980627,-3.8526593635757167,-4.240331621647142,1.1039562832872774,-0.9387605004888222,0.7035,1.0234504923154253,0.8151,-2.21185679794641,-0.8,-0.5999085769953783,-3.78980778515533,0.6814438678980794,0.2007,-0.7292769287518985,4.6584830531832315,-0.2037910282355596,-2.0126728771080984,1.0954089391082678,0.6145799953634667,-1.0675011460266757,0.7494972880497757
Expansion,1994-26,0.5947234045193595,1.103096025738437,1.745704473027776,-0.6805099352433119,3.3469389861004784,-0.3331,-0.1020159264573883,-0.7429,3.077378245526674,-0.3524,-0.2310574187578629,0.9171234953156748,-0.1805516797511508,0.6213,-0.2163543964888159,-3.1638918149348103,1.3323786842638596,1.1596226186123186,2.092028538659021,1.0771359666055689,-0.13779695216871957,-0.1140007193909634
Expansion,1994-27,0.3300491017332208,0.6726630796483946,1.1968287130063704,-0.0907926374720813,0.2159978085617409,0.2124,-0.1414765295605247,-0.1107,0.4713687418162582,-0.7676,0.380404140210322,0.5903824961999593,-0.1301167743800735,0.4093,-0.7479145552383937,0.004940384949058574,0.8117771316759321,0.7220753556257252,-0.20122082848502915,-0.08917881098130126,-0.2558823764363604,0.6903959999489042
Expansion,1994-28,1.463318662375035,1.9040901177726832,2.2184749087668543,0.2887540454802551,-0.2139843086675474,-0.5307,-0.051435858418547,0.2878,0.2463234731640007,0.4608,-0.101185340103127,1.2011960574394465,-0.3998025011672124,-0.2241,0.3598643762471543,-0.30357579002930885,-0.7832756146120419,0.6321033250564787,-0.7829548140490782,-0.2982054935497729,-0.13465876784416386,-0.6066324179068907
Expansion,1994-29,-0.3023590672080467,-0.5100833462301169,-0.8093039536216429,0.3293091317762009,-2.8968358709432263,0.7086,0.430639373754782,0.6629,-2.1601651984928583,-0.4059,-0.4105318184946527,-0.3814720066258381,-0.4793093971129702,0.0378,-0.4996477773537844,3.5454331260469902,-0.9478427511497557,0.07619405727894087,-1.5201960268675174,-1.2179606196254107,-0.31647279866170275,0.48357948572679244
Expansion,1994-30,0.7904506442608428,0.877156649927624,1.0683038514572862,-0.0031682892441931,-0.5106415643141959,-0.0524,0.0587621347779343,-0.115,0.1103260332402822,-0.411,0.119719991110756,0.9390075854250224,0.4103676036638637,0.3736,-0.6390034238659026,0.546480827848107,0.39249795243144436,0.9499274091120384,-0.6514347847769271,-0.2681788032594452,0.34867747640630875,0.3463833368124616
Expansion,1994-31,-0.2523708701320126,-1.001613646967192,-1.698584783796986,0.4405069674044526,0.176547625895318,1.1684,0.5806661768894328,0.2862,-0.0105727110616959,0.2827,-0.2108999704636183,-0.2031132691767911,0.3601502887533581,0.0546,0.1990961946710223,0.7490946277280947,-0.18680580768143065,-0.24828298503191185,0.244392153697146,0.41805229954050493,0.17657627577384624,-0.20731405177648488
Expansion,1994-32,0.9701656937368908,1.5476098511257197,2.2118764575369765,-0.6786136113897667,2.06590399610358,1.2466,-1.1456723330271257,-0.3178,2.403227533855845,0.3402,1.003025693885884,1.1327751029743371,0.3400173046062882,0.9615,0.049387747550833,-2.848939934938927,1.4803748096903482,0.2411812647525281,0.9054127113651891,0.21726725176043551,0.9379441405488119,0.5958794367666748
Expansion,1994-33,0.5376994003505997,0.9332771703033372,1.3204320196245067,-0.9375493556063264,3.8625843297649176,0.0456,-0.9770226133505422,-0.7731,2.0625083179126147,0.8767,0.0599159944096205,0.518715651032875,0.4195645914014445,0.8015,0.7495074220177367,-3.340936031731753,1.5367069601209593,-0.5245408806867264,2.1942070797012123,0.3658200408534286,0.5462056021885553,-1.0742184650747022
Expansion,1994-34,1.8301325852213333,1.9116989970958675,2.088589454573264,-0.6392290736734973,0.997836989954526,-0.0017,-1.2836043274300102,-0.4313,2.2831193083862056,-0.0583,-0.0105892879456059,2.0711807799261184,-0.290152488249229,0.4349,-0.2628415802124029,-2.452273649372541,0.6764338984306526,1.7892734582888181,0.3884928626885105,-0.5984698042355322,0.41542846518627446,0.23491057559861722
Expansion,1994-35,-0.1424930032866367,-0.2107872415162082,-0.4323766912783355,0.7615688602970572,-3.3712778651752373,-0.1765,0.4704560387700951,0.7855,-1.1398462440287749,1.2864,0.2602641306314046,-0.3917536109138253,0.1901250305005319,0.1507,1.1840965841986018,2.395698741308858,-2.7296003174277956,-0.8865001685794591,-1.792461488819639,-0.7793067547510157,1.1195832983105174,0.2509165008391608
Expansion,1994-36,-0.6061348194443594,-0.1796157109561269,0.2013462230009643,0.1996366242212,1.87758027136522,0.0034,-0.5592486383560025,0.1373,2.9853192409685425,0.7148,0.1900839923964836,-0.4643313993433318,-0.3198569620109226,-0.1525,0.8306462140430071,-2.5153117542597654,-0.7319610024079414,-0.23982959764634945,1.9218142887789516,0.8853602503234725,-0.23231282046217808,0.3899467028852355
