Date,CloseNYSE,CloseSP500
2009-12-24,7255.0,1126.47998046875
2009-12-28,7261.240234375,1127.780029296875
2009-12-29,7252.18994140625,1126.199951171875
2009-12-30,7241.240234375,1126.4200439453125
2009-12-31,7184.9599609375,1115.0999755859375
2010-01-04,7326.740234375,1132.989990234375
2010-01-05,7354.8701171875,1136.52001953125
2010-01-06,7377.7001953125,1137.1400146484375
2010-01-07,7393.93017578125,1141.68994140625
2010-01-08,7425.35009765625,1144.97998046875
2010-01-11,7449.0498046875,1146.97998046875
2010-01-12,7370.4501953125,1136.219970703125
2010-01-13,7430.14013671875,1145.6800537109375
2010-01-14,7448.52001953125,1148.4599609375
2010-01-15,7356.7900390625,1136.030029296875
2010-01-19,7443.68017578125,1150.22998046875
2010-01-20,7329.830078125,1138.0400390625
2010-01-21,7174.4599609375,1116.47998046875
2010-01-22,7030.60986328125,1091.760009765625
2010-01-25,7073.1298828125,1096.780029296875
2010-01-26,7028.31982421875,1092.1700439453125
2010-01-27,7035.60986328125,1097.5
2010-01-28,6956.990234375,1084.530029296875
2010-01-29,6883.77978515625,1073.8699951171875
2010-02-01,7008.22998046875,1089.18994140625
2010-02-02,7101.43994140625,1103.3199462890625
2010-02-03,7042.6201171875,1097.280029296875
2010-02-04,6787.85986328125,1063.1099853515625
2010-02-05,6782.75,1066.18994140625
2010-02-08,6713.8701171875,1056.739990234375
2010-02-09,6835.16015625,1070.52001953125
2010-02-10,6819.1201171875,1068.1300048828125
2010-02-11,6898.72021484375,1078.469970703125
2010-02-12,6874.56005859375,1075.510009765625
2010-02-16,7013.35009765625,1094.8699951171875
2010-02-17,7035.2001953125,1099.510009765625
2010-02-18,7080.3798828125,1106.75
2010-02-19,7083.25,1109.1700439453125
2010-02-22,7078.52978515625,1108.010009765625
2010-02-23,6974.60009765625,1094.5999755859375
2010-02-24,7030.669921875,1105.239990234375
2010-02-25,7013.4501953125,1102.93994140625
2010-02-26,7035.0400390625,1104.489990234375
2010-03-01,7100.75,1115.7099609375
2010-03-02,7135.97021484375,1118.31005859375
2010-03-03,7164.66015625,1118.7900390625
2010-03-04,7173.06982421875,1122.969970703125
2010-03-05,7291.31005859375,1138.699951171875
2010-03-08,7292.52978515625,1138.5
2010-03-09,7294.02001953125,1140.449951171875
2010-03-10,7327.669921875,1145.6099853515625
2010-03-11,7353.240234375,1150.239990234375
2010-03-12,7362.85009765625,1149.989990234375
2010-03-15,7350.9599609375,1150.510009765625
2010-03-16,7426.7001953125,1159.4599609375
2010-03-17,7474.1298828125,1166.2099609375
2010-03-18,7443.56982421875,1165.8299560546875
2010-03-19,7386.85009765625,1159.9000244140625
2010-03-22,7419.02001953125,1165.81005859375
2010-03-23,7478.85986328125,1174.1700439453125
2010-03-24,7408.16015625,1167.719970703125
2010-03-25,7385.60009765625,1165.72998046875
2010-03-26,7403.580078125,1166.5899658203125
2010-03-29,7464.89990234375,1173.219970703125
2010-03-30,7460.72021484375,1173.27001953125
2010-03-31,7447.7998046875,1169.4300537109375
2010-04-01,7539.0498046875,1178.0999755859375
2010-04-05,7600.93017578125,1187.43994140625
2010-04-06,7604.43994140625,1189.43994140625
2010-04-07,7546.18017578125,1182.449951171875
2010-04-08,7565.330078125,1186.43994140625
2010-04-09,7629.0498046875,1194.3699951171875
2010-04-12,7641.75,1196.47998046875
2010-04-13,7638.35009765625,1197.300048828125
2010-04-14,7728.9599609375,1210.6500244140625
2010-04-15,7719.66015625,1211.6700439453125
2010-04-16,7584.6201171875,1192.1300048828125
2010-04-19,7596.56005859375,1197.52001953125
2010-04-20,7669.10986328125,1207.1700439453125
2010-04-21,7644.669921875,1205.93994140625
2010-04-22,7642.830078125,1208.6700439453125
2010-04-23,7701.60986328125,1217.280029296875
2010-04-26,7677.64990234375,1212.050048828125
2010-04-27,7463.08984375,1183.7099609375
2010-04-28,7499.72021484375,1191.3599853515625
2010-04-29,7589.2900390625,1206.780029296875
2010-04-30,7474.39990234375,1186.68994140625
2010-05-03,7543.1201171875,1202.260009765625
2010-05-04,7337.25,1173.5999755859375
2010-05-05,7258.02001953125,1165.8699951171875
2010-05-06,7011.919921875,1128.1500244140625
2010-05-07,6916.18017578125,1110.8800048828125
2010-05-10,7257.6201171875,1159.72998046875
2010-05-11,7221.66015625,1155.7900390625
2010-05-12,7316.35986328125,1171.6700439453125
2010-05-13,7234.3701171875,1157.43994140625
2010-05-14,7077.64013671875,1135.6800537109375
2010-05-17,7063.830078125,1136.93994140625
2010-05-18,6959.2099609375,1120.800048828125
2010-05-19,6927.2099609375,1115.050048828125
2010-05-20,6653.0,1071.5899658203125
2010-05-21,6775.4501953125,1087.68994140625
2010-05-24,6666.740234375,1073.6500244140625
2010-05-25,6665.830078125,1074.030029296875
2010-05-26,6631.35986328125,1067.949951171875
2010-05-27,6893.2900390625,1103.06005859375
2010-05-28,6791.56982421875,1089.4100341796875
2010-06-01,6661.10009765625,1070.7099609375
2010-06-02,6839.60986328125,1098.3800048828125
2010-06-03,6860.39013671875,1102.8299560546875
2010-06-04,6600.27001953125,1064.8800048828125
2010-06-07,6512.419921875,1050.469970703125
2010-06-08,6596.1201171875,1062.0
2010-06-09,6559.7099609375,1055.68994140625
2010-06-10,6783.509765625,1086.8399658203125
2010-06-11,6814.759765625,1091.5999755859375
2010-06-14,6817.97021484375,1089.6300048828125
2010-06-15,6989.8798828125,1115.22998046875
2010-06-16,6976.080078125,1114.6099853515625
2010-06-17,6982.0400390625,1116.0400390625
2010-06-18,6988.25,1117.510009765625
2010-06-21,6978.85986328125,1113.199951171875
2010-06-22,6858.9501953125,1095.31005859375
2010-06-23,6850.0498046875,1092.0400390625
2010-06-24,6730.240234375,1073.68994140625
2010-06-25,6763.93017578125,1076.760009765625
2010-06-28,6736.60009765625,1074.5699462890625
2010-06-29,6520.08984375,1041.239990234375
2010-06-30,6469.64990234375,1030.7099609375
2010-07-01,6462.02978515625,1027.3699951171875
2010-07-02,6434.81005859375,1022.5800170898438
2010-07-06,6486.08984375,1028.06005859375
2010-07-07,6685.77978515625,1060.27001953125
2010-07-08,6755.81005859375,1070.25
2010-07-09,6808.7099609375,1077.9599609375
2010-07-12,6794.47998046875,1078.75
2010-07-13,6907.77978515625,1095.3399658203125
2010-07-14,6903.35986328125,1095.1700439453125
2010-07-15,6916.81005859375,1096.47998046875
2010-07-16,6709.509765625,1064.8800048828125
2010-07-19,6739.64013671875,1071.25
2010-07-20,6820.0400390625,1083.47998046875
2010-07-21,6731.16015625,1069.5899658203125
2010-07-22,6901.91015625,1093.6700439453125
2010-07-23,6965.10986328125,1102.6600341796875
2010-07-26,7046.0,1115.010009765625
2010-07-27,7044.990234375,1113.8399658203125
2010-07-28,6999.18017578125,1106.1300048828125
2010-07-29,6994.56982421875,1101.530029296875
2010-07-30,6998.990234375,1101.5999755859375
2010-08-02,7174.89990234375,1125.8599853515625
2010-08-03,7146.990234375,1120.4599609375
2010-08-04,7182.14013671875,1127.239990234375
2010-08-05,7174.27001953125,1125.81005859375
2010-08-06,7153.72021484375,1121.6400146484375
2010-08-09,7188.2998046875,1127.7900390625
2010-08-10,7139.75,1121.06005859375
2010-08-11,6902.7099609375,1089.469970703125
2010-08-12,6881.93994140625,1083.6099853515625
2010-08-13,6861.0400390625,1079.25
2010-08-16,6871.580078125,1079.3800048828125
2010-08-17,6959.7900390625,1092.5400390625
2010-08-18,6968.080078125,1094.1600341796875
2010-08-19,6850.4501953125,1075.6300048828125
2010-08-20,6813.14990234375,1071.68994140625
2010-08-23,6784.97021484375,1067.3599853515625
2010-08-24,6681.02978515625,1051.8699951171875
2010-08-25,6696.1201171875,1055.3299560546875
2010-08-26,6665.259765625,1047.219970703125
2010-08-27,6794.91015625,1064.5899658203125
2010-08-30,6695.27978515625,1048.9200439453125
2010-08-31,6704.14990234375,1049.3299560546875
2010-09-01,6910.97998046875,1080.2900390625
2010-09-02,6966.25,1090.0999755859375
2010-09-03,7055.02978515625,1104.510009765625
2010-09-07,6959.93994140625,1091.8399658203125
2010-09-08,6999.93994140625,1098.8699951171875
2010-09-09,7034.3701171875,1104.1800537109375
2010-09-10,7067.509765625,1109.550048828125
2010-09-13,7156.18017578125,1121.9000244140625
2010-09-14,7162.080078125,1121.0999755859375
2010-09-15,7179.7900390625,1125.0699462890625
2010-09-16,7169.47998046875,1124.6600341796875
2010-09-17,7154.64990234375,1125.5899658203125
2010-09-20,7266.02001953125,1142.7099609375
2010-09-21,7245.9501953125,1139.780029296875
2010-09-22,7210.85009765625,1134.280029296875
2010-09-23,7141.509765625,1124.8299560546875
2010-09-24,7301.0400390625,1148.6700439453125
2010-09-27,7263.3701171875,1142.1600341796875
2010-09-28,7310.31982421875,1147.699951171875
2010-09-29,7299.31005859375,1144.72998046875
2010-09-30,7281.06982421875,1141.199951171875
2010-10-01,7335.91015625,1146.239990234375
2010-10-04,7272.52978515625,1137.030029296875
2010-10-05,7434.18017578125,1160.75
2010-10-06,7448.330078125,1159.969970703125
2010-10-07,7425.009765625,1158.06005859375
2010-10-08,7478.419921875,1165.1500244140625
2010-10-11,7479.009765625,1165.3199462890625
2010-10-12,7489.6201171875,1169.77001953125
2010-10-13,7561.5,1178.0999755859375
2010-10-14,7546.58984375,1173.81005859375
2010-10-15,7520.60009765625,1176.18994140625
2010-10-18,7571.10009765625,1184.7099609375
2010-10-19,7423.64990234375,1165.9000244140625
2010-10-20,7523.81005859375,1178.1700439453125
2010-10-21,7515.669921875,1180.260009765625
2010-10-22,7522.91015625,1183.0799560546875
2010-10-25,7546.3798828125,1185.6199951171875
2010-10-26,7530.7998046875,1185.6400146484375
2010-10-27,7480.8701171875,1182.449951171875
2010-10-28,7504.85009765625,1183.780029296875
2010-10-29,7513.35009765625,1183.260009765625
2010-11-01,7509.2099609375,1184.3800048828125
2010-11-02,7582.14013671875,1193.5699462890625
2010-11-03,7608.41015625,1197.9599609375
2010-11-04,7782.43017578125,1221.06005859375
2010-11-05,7800.66015625,1225.8499755859375
2010-11-08,7782.2001953125,1223.25
2010-11-09,7702.31005859375,1213.4000244140625
2010-11-10,7747.4599609375,1218.7099609375
2010-11-11,7723.240234375,1213.5400390625
2010-11-12,7623.240234375,1199.2099609375
2010-11-15,7617.509765625,1197.75
2010-11-16,7472.6298828125,1178.3399658203125
2010-11-17,7488.759765625,1178.5899658203125
2010-11-18,7619.93994140625,1196.68994140625
2010-11-19,7641.080078125,1199.72998046875
2010-11-22,7610.2998046875,1197.8399658203125
2010-11-23,7470.77001953125,1180.72998046875
2010-11-24,7579.259765625,1198.3499755859375
2010-11-26,7500.5400390625,1189.4000244140625
2010-11-29,7483.33984375,1187.760009765625
2010-11-30,7430.93994140625,1180.550048828125
2010-12-01,7603.72998046875,1206.0699462890625
2010-12-02,7712.25,1221.530029296875
2010-12-03,7751.580078125,1224.7099609375
2010-12-06,7740.68994140625,1223.1199951171875
2010-12-07,7739.64013671875,1223.75
2010-12-08,7750.31982421875,1228.280029296875
2010-12-09,7782.14013671875,1233.0
2010-12-10,7823.2998046875,1240.4000244140625
2010-12-13,7850.02001953125,1240.4599609375
2010-12-14,7855.22021484375,1241.5899658203125
2010-12-15,7798.77978515625,1235.22998046875
2010-12-16,7840.240234375,1242.8699951171875
2010-12-17,7835.31005859375,1243.9100341796875
2010-12-20,7846.9599609375,1247.0799560546875
2010-12-21,7906.10009765625,1254.5999755859375
2010-12-22,7931.759765625,1258.8399658203125
2010-12-23,7925.35986328125,1256.77001953125
2010-12-27,7920.93994140625,1257.5400390625
2010-12-28,7931.669921875,1258.510009765625
2010-12-29,7961.47998046875,1259.780029296875
2010-12-30,7951.91015625,1257.8800048828125
2010-12-31,7964.02001953125,1257.6400146484375
2011-01-03,8043.97021484375,1271.8699951171875
2011-01-04,8022.18017578125,1270.199951171875
2011-01-05,8040.0400390625,1276.56005859375
2011-01-06,8000.89990234375,1273.8499755859375
2011-01-07,7980.31982421875,1271.5
2011-01-10,7966.08984375,1269.75
2011-01-11,8018.68017578125,1274.47998046875
2011-01-12,8122.97998046875,1285.9599609375
2011-01-13,8119.43017578125,1283.760009765625
2011-01-14,8174.1201171875,1293.239990234375
2011-01-18,8190.91015625,1295.02001953125
2011-01-19,8104.919921875,1281.9200439453125
2011-01-20,8076.72021484375,1280.260009765625
2011-01-21,8105.75,1283.3499755859375
2011-01-24,8157.419921875,1290.8399658203125
2011-01-25,8141.1298828125,1291.1800537109375
2011-01-26,8193.6396484375,1296.6300048828125
2011-01-27,8207.0595703125,1299.5400390625
2011-01-28,8062.64013671875,1276.3399658203125
2011-01-31,8139.16015625,1286.1199951171875
2011-02-01,8290.08984375,1307.5899658203125
2011-02-02,8272.5703125,1304.030029296875
2011-02-03,8289.0498046875,1307.0999755859375
2011-02-04,8288.5,1310.8699951171875
2011-02-07,8336.6396484375,1319.050048828125
2011-02-08,8379.849609375,1324.5699462890625
2011-02-09,8343.990234375,1320.8800048828125
2011-02-10,8337.1298828125,1321.8699951171875
2011-02-11,8374.8896484375,1329.1500244140625
2011-02-14,8405.150390625,1332.3199462890625
2011-02-15,8383.669921875,1328.010009765625
2011-02-16,8453.759765625,1336.3199462890625
2011-02-17,8497.41015625,1340.4300537109375
2011-02-18,8507.900390625,1343.010009765625
2011-02-22,8325.8603515625,1315.43994140625
2011-02-23,8292.919921875,1307.4000244140625
2011-02-24,8276.2900390625,1306.0999755859375
2011-02-25,8378.0400390625,1319.8800048828125
2011-02-28,8438.5498046875,1327.219970703125
2011-03-01,8315.849609375,1306.3299560546875
2011-03-02,8338.759765625,1308.43994140625
2011-03-03,8465.4501953125,1330.969970703125
2011-03-04,8413.0498046875,1321.1500244140625
2011-03-07,8337.01953125,1310.1300048828125
