Phase,Year_Month,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Expansion,1991-11,-3.4208620462809467,-3.6472597085101075,-3.9247863000247727,0.01,6.345119397360155,0.3457,-1.89,0.3063,-2.1756023638770716,-0.2929,1.14,-4.19,1.11,3.2845,-0.83
Expansion,1991-12,8.575423504844483,9.343276186349692,10.11997885789562,-3.12,10.82452844126638,-0.4648,-4.17,-2.0278,-1.209649870856866,-1.4813,8.19,10.84,3.55,6.7592,-2.4
Expansion,1992-01,2.5500776603657975,5.404984781292262,8.270481711473872,3.2,1.7399367399200116,1.5419,4.71,1.5044,13.658212889818078,8.3447,-2.49,-0.59,-1.32,-4.0675,9.18
Expansion,1992-02,1.4739745601441447,2.2109113429442795,2.5857388111289037,2.19,0.1555531340860172,2.2092,6.47,2.2609,3.5108682786069156,1.4019,-0.53,1.09,0.08,0.7464,1.33
Expansion,1992-03,-1.201943362494988,-1.2654744655132097,-1.5780142481521862,1.95,-1.833248342160021,2.0118,3.56,2.0114,-6.704736278979395,-1.1984,-0.29,-2.66,-0.01,1.0075,-0.93
Expansion,1992-04,0.9001915501857563,0.8262192848110674,0.5221981443999193,2.23,-3.6911465887082606,2.0023,4.34,1.8032,-3.083071351148625,-6.9392,-2.58,1.07,1.69,-1.7011,-5.7
Expansion,1992-05,0.3287176741558231,0.9962216800448866,1.7606780479073072,0.48,6.959829630169634,-0.7499,1.19,0.2946,0.7438999157799664,-0.26,0.21,0.3,-0.95,-0.2076,0.21
Expansion,1992-06,-1.9583642638380658,-1.6047971791362545,-1.4047064084805292,1.01,0.159529796530955,0.7786,3.24,0.6498,-3.356872046721404,-2.6362,-0.58,-2.34,-0.05,1.0499,-2.73
Expansion,1992-07,3.7426637637089635,3.626047486357519,3.7048978555020864,-0.91,1.0075377839836586,-0.024,-0.56,0.3915,2.3663076501410307,-0.8431,1.56,3.77,1.3,2.5486,-0.62
Expansion,1992-08,-2.063981944637412,-2.3070247463279854,-2.740819942628054,-1.65,4.815068079407259,-0.8624,-1.1,-0.7708,-1.0195423682940574,-0.3027,-0.51,-2.38,3.72,1.5206,-0.42
Expansion,1992-09,1.9688800632047856,2.36565998457307,2.8013156840734403,-0.59,3.904522847818459,-0.8276,-0.26,-0.3975,2.825536638579096,0.6797,1.49,1.19,1.64,2.3975,0.48
Expansion,1992-10,3.2041456348822464,5.257325285613908,7.5203326323817175,-0.79,5.857505249401629,0.61,-1.98,-0.3589,8.84428880235697,1.5547,2.48,1.02,1.24,2.1272,2.07
Expansion,1992-11,3.8309013624382184,4.384106257798833,5.0173019860632015,-1.59,0.6836201133859854,-0.1423,-1.35,-1.1712,5.7943795080423355,3.6882,-0.15,4.13,-0.68,0.9448,3.94
Expansion,1992-12,2.2268319539328196,3.101343174302875,3.817009774606963,0.84,1.2088164801172585,1.04,2.62,1.4108,0.5107016524133812,2.743,4.31,1.53,-0.48,1.8297,1.68
Expansion,1993-01,2.032459158399399,4.122830770294069,6.519354042113187,2.91,3.286080516151002,0.0495,5.94,2.9827,6.143834515012725,2.3197,4.83,0.93,-1.84,-1.4431,1.93
Expansion,1993-02,0.9925763461418693,1.3707546303768783,1.4672107482149623,4.13,-4.156671962925462,2.1469,6.42,3.6569,-4.166854087182214,-3.3152,3.14,0.12,-0.42,-1.4786,-3.45
Expansion,1993-03,3.2041824568415924,3.8308980684922336,4.085766882734138,0.9,4.143410265416536,0.5639,1.18,0.9273,0.0383930720688763,-0.0141,3.73,2.3,-0.15,1.7906,0.09
Expansion,1993-04,-1.902655086614906,-2.0674635974440676,-1.9380869279579425,1.38,-2.497388822172264,1.9917,2.49,1.201,-2.3456860002001756,-1.1434,0.38,-3.05,-3.61,-3.0656,-0.85
Expansion,1993-05,2.575842226806999,4.021783858032644,5.87931003823121,-1.04,4.960155953490908,-0.273,-3.42,-0.8479,8.520694450543886,1.8045,0.22,2.89,-0.12,-0.5601,1.9
Expansion,1993-06,0.1600361501721439,1.041389536186771,1.8579639212522538,1.21,-2.6983293462810476,1.4634,2.75,1.8188,0.7676243392209514,1.5893,4.55,0.31,-0.92,3.004,0.13
Expansion,1993-07,0.29379250058076534,1.1358153049169941,1.954988795765318,2.06,-1.8980602195555196,0.8502,2.85,1.4591,1.3751423842653487,1.3909,3.16,-0.34,-1.87,-0.5623,0.95
Expansion,1993-08,4.913116415423863,6.6955570438225145,8.527138712142873,-0.04,0.5205608744005996,0.7642,0.13,-0.0614,4.608177375801281,-0.019,2.65,3.71,-1.54,0.4572,0.1
Expansion,1993-09,0.4441139352307546,1.5765022829171185,2.625068818892167,-0.16,2.884768608726574,1.3638,-0.31,0.2696,4.17868114286335,3.1054,3.37,-0.12,0.24,0.9427,2.98
Expansion,1993-10,0.7683352968863779,0.5424074885452137,0.3753860129154887,0.6,-0.322115817777846,-1.4198,-2.76,-0.5641,1.2457815593378552,0.4216,-2.72,1.41,0.57,-1.4093,1.89
Expansion,1993-11,-2.528046506712561,-2.2355869733848563,-1.7397318959765538,-0.94,2.70261572444066,0.1379,-0.74,-0.7507,3.3457862331193855,-1.8618,-4.74,-1.89,2.23,-0.7095,-1.27
Expansion,1993-12,3.0953468205524106,3.720612999248837,4.1192222893456,-0.34,-2.3041358890527053,2.2733,0.32,-0.2555,-0.207307046012195,2.1125,2.36,1.65,1.16,2.3869,1.4
Expansion,1994-01,2.5367830108608382,3.4633306026774004,4.362931290430078,1.43,3.897127461831018,0.9311,1.15,1.1272,9.3268320538487,0.159,0.0,2.87,-1.66,-0.922,-0.06
Expansion,1994-02,-1.3927540069556663,-0.19135843749409445,0.8283924171480486,-1.0,3.73723094939975,1.598,-1.54,-0.4691,5.7750165456530445,2.6526,-0.3,-2.55,2.14,2.6619,2.67
Expansion,1994-03,-3.515110108861371,-2.803475138565422,-2.0968973351284523,1.28,1.4250815665735272,1.3513,1.6,0.9681,1.5610094650617246,-0.9378,-1.27,-4.78,0.69,0.2218,-1.04
Expansion,1994-04,0.6296237264660367,0.8571240413125438,1.1010143387373197,1.11,2.575662279279056,1.5131,1.66,1.2741,-0.1265284576220882,-0.819,0.39,0.68,1.07,1.529,-1.01
Expansion,1994-05,-1.4609258553814684,-1.2734640120141036,-1.1795670600120887,0.68,0.770925309920556,1.4199,0.67,0.512,-1.5862905375770286,-1.9848,-2.19,0.58,0.6,-0.7588,-2.56
Expansion,1994-06,-2.3150267063275174,-1.821342423116091,-1.52545807526261,1.47,-3.3448876604309175,1.3288,1.67,0.9202,-0.7372665706571024,-0.8441,-0.87,-3.03,1.21,0.1932,-0.5
Expansion,1994-07,2.589377533546524,3.2915495927035154,4.0126109072890515,0.14,-3.741503162664928,-0.0945,0.58,0.4259,-1.6062950009669177,-1.4321,0.18,2.82,-0.65,0.7148,-1.85
Expansion,1994-08,4.057376194458299,4.06708285920148,4.225195108822381,-1.47,5.388256267947544,2.6805,-2.51,-0.6915,6.121481082977009,2.0904,1.55,4.01,0.95,2.061,1.37
Expansion,1994-09,-2.5957109829584732,-2.1163058127218046,-1.7596116178274688,0.93,2.0915833120396465,0.9738,-1.89,0.5879,0.578867558445606,2.2081,1.31,-2.31,0.52,1.0911,2.8
Expansion,1996-02,0.9972235201411787,2.1887145078088657,3.138727283435118,-1.9,2.326221922554028,0.7364,-1.08,-0.9876,4.01513457408369,2.7354,0.59,1.33,0.24,3.1394,1.77
Expansion,1996-03,2.3270987844149063,2.8859186281768214,3.110493966986684,-0.95,2.288332013690453,-1.3301,0.35,-0.6897,-0.4769071704268879,1.873,-1.84,0.73,1.42,0.2756,1.61
Expansion,1996-04,2.7454067850196378,5.123804973102224,7.83479265876194,-2.11,7.66499947032091,1.1731,-4.02,-1.8073,9.056446478461954,5.1852,-0.88,2.06,-0.14,2.8673,4.71
Expansion,1996-05,0.5868118703430607,1.21502743265056,1.943608223205005,-0.3,6.699384203288039,-1.4379,-0.83,1.0265,2.3152258150307192,4.4631,1.54,2.36,0.12,1.864,3.21
Expansion,1996-06,-2.1313743677401127,-3.121871738957693,-4.447810828209686,1.22,0.8659597510003891,1.6996,2.35,1.7381,-8.747281838605492,-4.2992,0.98,-1.14,3.51,0.866,-3.65
