,credit_factor,Date
2518,0.008965685252591137,2000-09-28
2519,-0.03222013496028096,2000-09-29
2520,0.004185518757648084,2000-10-02
2521,-0.027356466682050665,2000-10-03
2522,0.01176351158670592,2000-10-04
2523,-0.023802312282552904,2000-10-05
2524,-0.008867706577361512,2000-10-06
2525,-0.006162594756925828,2000-10-09
2526,-0.029277530638340814,2000-10-10
2527,0.0038979088383638586,2000-10-11
2528,-0.012925102380876977,2000-10-12
2529,0.03435453406283418,2000-10-13
2530,-0.021793135932142056,2000-10-16
2531,-0.01106239334360292,2000-10-17
2532,-0.02206762580760456,2000-10-18
2533,0.08412240068254735,2000-10-19
2534,-0.003487870723227071,2000-10-20
2535,0.009557927699801764,2000-10-23
2536,-0.04795717094637021,2000-10-24
2537,-0.0168510875519765,2000-10-25
2538,0.01859887623120065,2000-10-26
2539,-0.011543071766046986,2000-10-27
2540,-0.006605959609973448,2000-10-30
2541,0.006282189592592136,2000-10-31
2542,-0.0117643407642997,2000-11-01
2543,0.011408179529288045,2000-11-02
2544,0.000313799314559585,2000-11-03
2545,0.004031005577760417,2000-11-06
2546,-0.03575197801464734,2000-11-07
2547,-0.02942277844246553,2000-11-08
2548,0.006212516916767356,2000-11-09
2549,-0.01701223679635927,2000-11-10
2550,0.0004441609559256172,2000-11-13
2551,0.03359448800804149,2000-11-14
2552,0.024111956148365372,2000-11-15
2553,-0.010813997111875629,2000-11-16
2554,-0.004818107829011309,2000-11-17
2555,-0.004807035426637881,2000-11-20
2556,-0.01128004245786199,2000-11-21
2557,0.0022690715212626625,2000-11-22
2558,0.04347281603002097,2000-11-24
2559,-0.01955259106303769,2000-11-27
2560,-0.0370452293836627,2000-11-28
2561,0.01127716630616539,2000-11-29
2562,-0.038420998443545254,2000-11-30
2563,-0.004198996043646144,2000-12-01
2564,-0.00010873444731926245,2000-12-04
2565,0.04273335058035625,2000-12-05
2566,-0.01703203691785537,2000-12-06
2567,-0.02460609925404172,2000-12-07
2568,0.045650073210722786,2000-12-08
2569,0.025845496228357107,2000-12-11
2570,0.003772385221856314,2000-12-12
2571,-0.017296501701871934,2000-12-13
2572,-0.016936838483635502,2000-12-14
2573,0.004182490205977007,2000-12-15
2574,0.012255247989672414,2000-12-18
2575,-0.03033171637830549,2000-12-19
2576,-0.0096542138673048,2000-12-20
2577,-0.01688073646006926,2000-12-21
2578,0.029819877177288606,2000-12-22
2579,-0.009536620813048794,2000-12-26
2580,0.02480597892728706,2000-12-27
2581,-0.017955283119113458,2000-12-28
2582,-0.023225502657002295,2000-12-29
2583,-0.007639730744714673,2001-01-02
2584,0.0923959673258151,2001-01-03
2585,-0.04031953730947875,2001-01-04
2586,-0.02905507767337099,2001-01-05
2587,0.009237311928577204,2001-01-08
2588,0.00739303835394416,2001-01-09
2589,0.014064417471927125,2001-01-10
2590,0.012496054542543714,2001-01-11
2591,-0.0037715575177356573,2001-01-12
2592,-0.02569451215776508,2001-01-16
2593,0.020268777337717526,2001-01-17
2594,0.04076036713784338,2001-01-18
2595,0.02532372880147431,2001-01-19
2596,-0.0179535428001593,2001-01-22
2597,-0.009698442329117807,2001-01-23
2598,-0.0022332609037853056,2001-01-24
2599,-0.014957780915028869,2001-01-25
2600,-0.00926763782672817,2001-01-26
2601,0.0013843163997143103,2001-01-29
2602,0.022931402735119257,2001-01-30
2603,0.003935055129438903,2001-01-31
2604,-0.016973694494405334,2001-02-01
2605,-0.00910184542206621,2001-02-02
2606,-0.018122440174661726,2001-02-05
2607,-0.004488660249693996,2001-02-06
2608,-0.0015639171630363671,2001-02-07
2609,-0.01539450122432481,2001-02-08
2610,-0.007923324911999801,2001-02-09
2611,0.006736000175385582,2001-02-12
2612,-0.010756149355330705,2001-02-13
2613,0.0534262132703238,2001-02-14
2614,-0.01775387721368081,2001-02-15
2615,-0.014715658823887211,2001-02-16
2616,-0.024079378730159202,2001-02-20
2617,0.005331144000229857,2001-02-21
