Date,XOM,JNJ,CVX,KO,IBM,TXN,COP,SYK,FI,CDNS,GD,MMM,EA,VMC,CHD,JBHT,PTC,MGM,TRMB,PNR,IPG,CLF,CHE,GNTX,ARW,MUR,HOG,AVNT,AIN,LEG,MTRN,TDS,LUMN,OMI,NVRI,MSFT,WMT,PG,HD,ORCL,NKE,AMAT,LOW,MDT,TJX,ADI,MU,KLAC,BDX,TGT,NOC,CTAS,EMR,APD,ROST,PAYX,ADM,HPQ,CLX,RPM,CAG,IP,TOL,CASY,BBWI,THC,PVH,GPS,CRUS,KBH,HP,WDFC,CRS,WOR,AGYS,AIR,PLAB,WGO,BBY
1993-03-31,2.917186598,5.059853051,2.596782009,7.094955693,1.05090451,3.02246683,2.014047689,11.1576558,1.366050141,4.27708361,2.241662346,5.456437152,15.40336077,5.419286289,6.058352864,3.483641441,35.91975842,1.865329794,4.192225018,2.941200318,1.850253614,2.604838761,2.031650081,21.38243103,4.16436646,3.148209599,6.870753095,2.858380188,1.902759474,7.232209382,2.260850127,1.842493829,2.255358245,6.468996325,4.258948182,32.05318689,6.375323879,3.566437371,8.772065421,8.05144065,10.45546307,4.804713841,4.495949732,7.246654716,4.728573093,4.662698084,4.434133925,3.788111396,3.041465236,3.016368471,3.196742462,6.63274893,3.992039814,2.890775639,4.534977047,26.13057764,3.638074373,4.131805696,4.243122406,3.630226615,3.040087215,1.869735832,3.130493028,3.734902441,6.41473689,1.898235483,4.845876943,9.724478034,5.66698276,1.932421648,5.993705199,32.96781767,2.266668905,7.369194982,5.043643091,2.915736845,6.066471405,5.013711223,5.038002872
1993-06-30,2.96120383,5.020651962,2.54634117,6.661377915,0.805321009,3.303898991,2.043601849,10.69794563,1.406040636,4.448353821,2.331846832,5.249452215,19.06744366,4.559253359,6.241955558,3.328552486,41.42223074,2.012431361,5.377680285,3.085060624,1.638721962,2.399271037,2.173900513,31.48134013,4.83669641,2.864628434,6.784115027,2.804548921,1.992598115,6.863790185,2.185662518,2.057025216,2.02656769,6.236145433,4.152228046,30.09777207,6.266405258,3.178112703,9.33211011,10.11028649,8.698812629,5.904060988,4.594879485,8.587600084,4.303929261,5.354208375,6.037880875,4.297113663,3.247057743,3.029067586,3.188163343,6.995852823,4.091057095,2.697753528,4.57734103,28.70613968,3.412814542,3.980122269,4.494146155,4.331729653,2.738079342,1.852715358,2.991953175,3.674647136,6.022163686,2.074575291,4.456931136,8.977290466,4.756553926,2.092014724,6.974779458,22.49154988,2.134580917,7.962750772,4.772396033,2.774768778,5.440895228,5.141266957,5.387757971
1993-09-30,2.884457769,4.822881685,2.622556367,6.957176601,0.98182545,3.36406553,2.178076197,8.999511607,1.473017575,3.705259,2.523929602,5.04837732,18.62520339,4.767742643,5.675902537,3.151050506,48.03225971,2.485444753,6.351234592,2.977880143,1.858609085,2.417618222,2.066703735,32.49708629,4.90552821,3.097959249,7.61452097,2.5544436,2.04871273,6.022618545,2.2080228,2.415305597,1.805499814,6.178098137,2.569279442,27.74431589,5.670469692,3.081924127,8.549439369,11.8220977,8.962069095,5.211028092,4.858444677,10.35800531,4.270009588,5.007628871,5.685851814,5.993551442,2.898890159,2.797722895,3.205018199,6.7991236,4.3381551,2.620780248,4.541574047,35.40037953,3.303095784,3.816818491,4.547379175,4.079685094,2.615175761,1.816263743,3.602163214,3.714649691,5.944408929,2.515198712,4.843889808,8.902718177,6.112031111,2.110415427,6.868571507,21.53050032,1.849126135,7.236474873,5.21696429,2.659965718,6.153745652,4.943248687,3.412011348
1993-12-31,2.918379956,5.139779374,2.381120412,6.994127624,1.397752352,3.328505412,2.067604513,8.23013044,1.28320038,3.538792504,3.760802189,5.334524679,13.54740767,5.198679656,6.082128054,3.011076019,44.43886275,1.480983117,6.182108732,2.865128991,1.64506945,2.728592807,2.111011691,63.7679705,4.574715738,2.582682464,7.442055997,2.53087154,2.338820371,6.372934976,3.227526221,2.47670766,1.739068791,6.790070565,2.500414237,22.0801861,6.168766913,3.357832896,8.771318669,11.56470359,7.448694766,6.789636437,5.022772005,10.52856506,4.952975646,5.57836203,8.510279705,6.514381393,2.855890971,3.076899802,3.351118744,7.429450958,3.692490823,2.718058808,4.572403055,31.87921905,3.204412446,4.062776893,4.815655946,4.420120465,2.939077844,1.92778201,3.757760939,3.870343259,5.749050415,2.527106622,5.314394977,9.534461663,6.258678124,2.071588519,6.154358189,12.17888269,2.00859361,7.28976144,5.101183594,2.830709826,8.198592353,5.640478408,5.060868081
1994-03-31,2.858267878,4.723678634,2.326058409,6.455171773,1.498645267,3.477656385,2.025514614,8.299395464,1.17632414,3.490431404,3.7521206,4.350505083,11.05780685,5.227421776,5.074791764,3.007722258,25.69264399,1.326572398,6.23551794,2.273348964,1.627732103,3.066671902,2.05877446,29.55639653,4.944856604,2.569934999,7.683780881,2.835467688,2.382206382,6.002318818,3.712811021,2.009673353,1.530915766,7.032831786,2.799504055,19.3632744,5.693282737,3.308618724,7.806109568,9.733517524,7.979745281,6.571710342,5.338241301,7.343585015,4.390511747,5.519850111,7.886580597,7.711645545,2.927648056,3.207163582,3.302713418,7.260494836,4.37371045,2.573881672,4.301885135,31.27003891,3.366844984,3.98285982,3.847670922,4.27686314,3.137968141,1.864300576,3.349118215,4.14132138,6.144920625,1.815875017,5.33242982,10.79924169,5.542533173,1.960535008,5.65083102,19.35713154,2.141211905,6.806752674,5.238999678,2.748124968,8.485325317,5.639873134,5.293394998
1994-06-30,2.712969211,5.009869399,2.205703077,6.08592406,1.649334239,3.560509573,2.066246824,7.910438459,1.292716163,3.613687001,3.679326072,4.349430492,9.020532927,4.677251741,4.556573378,2.716215409,20.2510327,1.403962822,4.395572345,2.276106055,1.513847717,2.888557028,2.245843215,39.37067961,4.986253189,2.642400524,7.188055702,2.565458392,2.292550088,5.230031562,3.748693492,1.900318741,1.549300801,3.364980834,2.695888098,23.17091985,5.503533451,3.362319916,8.118165635,11.93011952,7.702300075,6.460801857,5.339426165,7.527866451,4.00796162,5.637596414,8.449291101,7.760662484,3.043038394,3.230488629,1.357813731,7.450404522,4.253968899,2.544490552,4.234723615,25.04008694,3.472337058,3.897530406,4.408745446,2.78536369,2.944086463,1.856768804,3.151199198,4.137803786,5.851917104,2.669488433,4.511215599,10.06319668,5.442622008,1.893019586,5.959669449,20.80976568,2.136835202,7.020368428,4.527845034,2.767822731,7.400510401,4.99311085,4.588324326
1994-09-30,2.704849478,4.932672183,2.258920895,6.812357195,1.81216278,3.507808532,2.179191038,5.987074367,1.360268521,4.732198671,3.933764703,4.49882723,8.7180291,4.779934143,4.265991169,2.563564247,28.96325427,2.139379994,5.398538717,2.270704542,1.626693123,2.668582623,2.252108238,27.81152604,4.708875799,2.625599922,8.229748015,2.709876219,2.268030633,4.895191754,3.883007768,2.134667139,1.704658528,3.757761685,2.728533061,19.60386593,4.794545236,3.397699506,8.340924873,10.87596323,8.082088397,6.181532019,5.545508991,8.962337593,3.370439353,6.169432699,7.675532708,9.062936823,3.184524286,2.978356884,1.785483042,7.972063528,4.469710709,2.605760018,3.85621095,29.00129189,3.597734172,4.157995927,4.735839589,2.88691419,2.789557343,1.985589609,3.128368539,4.288014464,5.096854768,2.449224743,3.960971288,8.328953707,5.039237299,1.857753391,6.001846725,19.10398919,2.113626227,6.636014612,4.844978236,2.748893952,8.178417317,5.030749052,3.367066423
1994-12-31,2.837379278,4.819823953,2.413846085,6.89478718,1.880945697,3.735121183,2.176165694,5.188902177,1.269643114,4.030757735,3.921347753,4.653046215,7.402434525,4.801187223,3.806764651,2.457645957,29.89967908,2.092642114,6.133916112,2.811176587,1.290307585,2.692614316,2.358280034,29.49261907,4.420724443,2.477634737,9.518329212,2.65220954,2.378307415,4.966630466,3.64213947,1.92350985,1.708354361,3.802782587,2.812933573,18.61486001,5.196089991,3.517347686,9.086811002,11.67616977,5.30293647,5.287004382,5.038278783,11.07296266,3.472660193,5.707399096,10.9959644,8.185694046,3.109362143,3.11267539,1.96313947,7.314417078,4.246080892,2.457795141,4.133056307,30.89116534,3.790783747,4.291018044,4.804006413,3.038030541,3.005109161,1.969135413,2.963362652,4.639972914,5.431156468,2.78699505,4.13143155,8.329735034,4.274166273,1.781803205,4.921778708,18.30769787,2.014957418,6.288951121,4.426681088,2.805282365,6.380638355,5.147977588,4.781328412
1995-03-31,2.889645273,5.061881408,2.541877056,7.19434152,2.068895792,3.904733811,2.265558185,7.015615913,0.866883404,4.622677491,4.112073179,4.468659182,10.02390832,5.262247217,3.838957195,2.733646837,25.44358797,2.347821475,6.378872162,2.252220678,1.489324935,2.841679766,2.37378863,21.57799492,4.286622229,2.442344985,7.98474083,3.026585543,2.416283512,5.224906821,4.080942043,1.308218268,1.962710535,4.068043067,2.902912882,19.46222487,5.116762868,3.684352369,9.509155639,10.33785424,6.322525566,6.227262493,4.568834498,11.41216671,2.930623645,6.578095605,10.82994359,9.308591027,3.33458943,3.063876043,2.086253464,6.867836298,4.035802064,2.592942154,3.839250351,32.25497344,3.681142295,4.685444366,4.691259006,3.284524418,3.467958608,1.999959014,3.033245904,4.87170355,6.154836755,1.056995357,3.08166159,8.922143596,4.871534069,1.61154199,4.892150752,20.07066677,2.042649265,6.754787043,4.718554799,2.912861311,6.641786196,4.679152753,4.937777318
1995-06-30,3.054608104,5.461824076,2.545258866,7.130275387,2.238689734,4.462530327,2.248341547,6.319745452,1.171360628,5.064450871,4.03186857,4.307515575,13.56971883,4.980858878,3.856811365,2.561178827,27.99088141,2.216081907,7.846618957,3.004051663,1.408951384,2.905702597,2.5300352,20.03599015,4.512125289,2.379036353,7.647177892,3.22523624,2.637764222,5.430790305,4.285263483,1.29898356,1.891456281,4.358180685,3.157080557,21.31242134,5.252407167,3.830563742,9.812126495,13.41054556,6.879585321,8.011694299,5.23460408,12.61861179,3.11637484,8.131471031,14.49220374,10.31713781,3.493811962,3.059094169,2.181148496,7.152281598,4.234057064,2.570232415,4.224749169,40.10053782,3.787255959,4.822952346,4.441973792,3.290168993,2.982126008,1.735502599,3.367441306,5.020828349,5.349301119,1.441780582,3.0484543,9.022202748,5.616154262,1.556218834,4.498705518,18.55403225,2.239191046,6.748301182,4.778635999,3.155044949,8.384834291,4.416262611,4.286289489
1995-09-30,3.126864608,5.840357935,2.604122226,7.577218514,2.164828247,4.628378022,2.241381225,7.686546331,1.145815335,5.642792234,3.58131484,4.376631143,17.39762222,4.926988929,4.018322367,2.49562652,31.32998155,1.827623499,6.83609819,3.118357084,1.506891712,3.131203557,2.524000581,21.92132498,4.561229783,2.287829876,7.36092528,3.368845246,2.65908507,5.811572023,4.215477885,1.486149766,2.022329937,4.192283862,3.284078816,17.005983,4.394448966,4.042939982,7.909952646,14.55860179,7.819546707,7.333508926,4.285820652,17.35936195,3.03003994,7.054827215,8.851677167,11.11983561,3.649162388,2.842314204,2.310536089,8.223148179,4.500099095,2.453912857,4.107128617,45.25867335,3.451214779,4.912506275,4.880437103,3.00413975,2.824629417,1.944797779,3.472391127,5.232695879,5.827546362,1.63278172,2.807133039,7.576593305,8.952776825,1.711823353,4.447609799,18.84752656,2.452723486,6.644188977,5.145997785,3.231211519,7.101504319,4.062860785,3.140068135
1995-12-31,3.297647864,6.35294529,2.488803477,8.068102322,2.118082173,3.87091412,2.140499116,8.134827744,0.99380127,7.701922964,4.635267348,4.8068868,8.882291683,5.800684336,3.904501019,2.390254867,34.2161278,1.865428233,5.929679445,2.719175237,1.412034382,3.050766983,2.634714675,18.40649428,4.496984333,2.369994077,5.085799432,3.025387972,2.429432062,4.730036831,3.694867642,1.405878421,2.113975992,4.440291376,3.430811666,14.07761618,4.79501701,4.330748851,8.989678988,15.07013682,7.84287668,6.110678259,4.539602256,16.66629212,2.330001688,4.91346009,6.684183488,7.52631853,3.952954869,3.047918697,2.537611611,8.606708073,4.713142952,2.377401275,4.960239414,44.2700815,3.401334522,4.613254594,4.764307402,2.96945413,2.928711281,1.980162266,3.591549599,5.251303784,4.889611308,2.037342504,3.172223523,9.718802001,4.168259937,1.899176377,4.380392759,20.02217315,2.450955843,4.518591013,3.641859564,3.272071056,6.341063582,3.978044445,4.83925953
1996-03-31,3.257006649,6.695887315,2.669870363,8.426491422,2.274936464,3.885311207,2.410510692,7.844037242,0.940498196,7.856882468,4.629318205,4.645657468,11.27433397,5.735216697,4.024526608,2.624682365,34.85571845,2.616700526,6.761582083,3.008183468,1.564475282,3.227814378,2.628923115,18.90767011,4.611896496,2.397215787,6.115105497,2.814264261,2.482486163,5.870270605,4.03252487,1.624921838,2.186870762,4.47268753,3.690553693,15.88084088,5.01319148,4.498178982,8.586860239,11.79236771,9.331130301,6.925006597,4.183324568,12.55504931,2.853414478,5.415392545,6.165272636,6.464373179,4.196981,3.189538407,1.432036698,9.217287349,4.384498802,2.39021496,5.503513725,4.380923341,3.590262027,5.074414692,4.167429946,3.054227951,3.367923206,1.637951477,3.248453709,4.931500176,4.88484713,1.589824212,3.184847033,11.86468738,2.944443311,2.003577689,4.997241552,22.07067186,2.440472656,4.419185244,3.588917638,3.350684122,6.571020353,4.296039936,4.903624762
1996-06-30,3.362263164,7.025212047,2.797188374,9.169474728,2.170120648,3.558142469,2.514376898,7.708497443,1.108782631,8.233065867,4.651938925,4.909624847,14.05328536,5.39328711,4.247914474,2.699336599,32.22827965,2.868936309,5.967281985,3.102772488,1.477154283,3.134942734,2.677558664,26.85381836,4.791005312,2.476598853,6.33173388,2.277699079,2.580067643,4.661316464,4.111978013,1.817397602,2.217532264,5.124931482,3.794693211,17.12349639,5.069007455,4.721533896,9.35900654,13.88037485,8.850349162,5.674907961,4.614818352,13.6616965,3.004095621,4.765743667,5.073949309,6.914442682,3.97918579,3.199432023,1.58268574,9.332536427,4.704087955,2.376850252,5.244115113,55.55094354,3.561750307,4.58650924,4.298283422,2.779251503,3.063675779,1.612234651,2.95214238,4.631705862,4.636720619,2.275677753,3.121665016,10.7655278,2.835332674,2.135429289,5.054572428,19.86141301,2.357058913,4.259949955,3.629174736,3.316984298,5.490649053,4.353495065,4.853556048
1996-09-30,3.28070502,7.13557414,2.946482183,10.17480201,2.369840827,3.105160133,2.578724475,8.703911028,1.395400676,9.596517016,4.867603634,4.807842717,14.28795683,5.70909612,4.194728538,2.580191706,29.21732949,6.174712652,5.199166416,3.004842494,1.580708004,3.069952422,1.925079758,36.69986031,4.95745054,2.589410534,5.732804412,2.200316932,2.540831758,4.903169521,4.364438841,1.538943084,2.341127125,5.293475797,3.681360267,17.14125197,4.86043217,4.859867277,7.621810723,18.19134703,10.05627823,5.461418061,4.900588839,17.38171709,3.76467633,5.313155594,5.845654827,7.917159934,4.26612597,3.046207451,1.687220349,9.932169558,4.80276333,2.325628041,5.462114529,55.67015243,3.34104103,4.660795196,4.515374683,2.989899863,2.965365562,1.620170114,3.178860629,4.686218678,4.226024365,2.432565055,3.007331854,8.616778384,2.702604903,2.406028933,5.522244126,19.92088038,2.398838669,4.114512496,3.909910779,3.532134261,5.354651152,4.311669388,3.71884871
1996-12-31,3.625540037,7.092823632,3.257366246,10.04090247,2.413528984,3.105269301,2.612882233,7.29658927,1.705324073,9.303135449,4.187007965,5.644867815,7.830677576,5.793529246,4.514299657,2.414673013,29.36987277,5.022238371,4.138811531,3.238336683,1.46455189,3.168595582,2.046374125,36.59884017,5.131934787,2.772648024,5.944885154,2.180323279,2.633796224,5.405754803,3.554536323,1.243879547,2.191648635,5.589219443,3.934697291,21.79441937,5.325780557,5.19809181,7.722990592,12.72738285,10.35499545,6.479853933,4.390879348,18.10081523,4.986157822,6.671806001,5.58395169,10.5854302,4.416490394,3.208470969,1.776337807,9.314257837,4.954663684,2.202657943,5.664322099,38.2121762,3.519885575,5.394019221,3.632492699,2.361002295,3.191544829,1.601968283,3.111350509,4.832197821,4.655332102,2.137096337,3.656091471,8.687956801,2.058334681,2.62319062,5.572864123,17.70619937,2.32538113,3.522833032,4.085637625,3.385846003,7.533353811,4.536350752,5.315873393
1997-03-31,3.818715581,7.359617744,3.505420615,10.75433095,2.41936534,3.445600262,2.681128908,7.409907088,1.505738412,9.257126167,3.800898912,5.597710124,9.544174417,5.904648099,4.9551768,2.601464331,23.30762305,6.565751185,3.994528938,3.080355217,1.536063553,3.181108686,2.12444099,26.94574075,4.301423105,2.7796103,4.613516266,2.185081875,2.64421282,4.875078638,4.061282217,1.167406688,2.105234122,5.734970171,4.060767709,21.9003168,5.577591222,5.604594511,7.170782349,11.10327215,8.306297336,6.480978244,4.39169248,18.09924442,4.750613851,6.190496826,6.379959085,10.44798183,4.527311415,3.418458712,1.757150745,9.438359166,4.642800767,2.357466353,6.297072452,3.83890458,2.863896799,5.383140406,3.686007183,2.723732744,3.643761323,1.585099593,3.191969895,5.005909361,4.928186272,1.787863671,3.427012213,9.811706303,1.867745193,2.471942383,5.599711367,28.30708997,2.077853861,3.237917716,4.193408133,3.68147848,6.380757653,4.368918484,5.408996504
