Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1969-08-01,0.1329,1.4583,-1.7077,-1.2393,-0.4846,-0.9824
1969-08-08,0.1399,0.5824,-0.2057,-0.1827,0.8172,0.1897
1969-08-15,0.1399,0.1452,-0.1205,-0.9862,0.5686,-0.4952
1969-08-22,0.1399,2.1446,0.5398,-0.569,-0.3037,-0.4551
1969-08-29,0.1399,-0.3003,0.1019,0.0629,-0.4712,-0.6391
1969-09-05,0.1113,-2.3131,0.0257,0.9327,0.9527,1.0106
1969-09-12,0.1391,0.6534,-0.6295,-0.6947,-0.2337,0.1003
1969-09-19,0.1391,1.0609,0.1583,-0.5904,0.3905,0.61
1969-09-26,0.1391,-1.2403,1.0462,0.3738,0.7424,1.029
1969-10-03,0.1301,-0.9028,-0.1254,-0.5127,0.0276,-0.3447
1969-10-10,0.1242,0.381,-0.3543,-1.0087,0.5715,-0.1955
1969-10-17,0.1242,3.2128,2.092,0.3907,-0.9207,-0.9523
1969-10-24,0.1242,2.0835,0.7254,0.0115,-0.2359,0.0718
1969-10-31,0.1242,-0.7982,0.5118,-0.1878,-0.2246,0.4053
1969-11-07,0.1447,1.2462,-0.0766,0.1599,0.5806,0.1404
1969-11-14,0.1447,-1.5019,-0.6119,0.5819,0.6254,1.5502
1969-11-21,0.1447,-3.2108,-1.1787,1.1769,0.8164,0.8027
1969-11-28,0.1157,-0.3472,-0.1017,-1.8663,0.7072,-0.1756
1969-12-05,0.1326,-2.6258,-1.0706,1.2185,2.0046,2.003
1969-12-12,0.1326,-1.1523,-0.6793,-0.1315,1.8136,1.1082
1969-12-19,0.1326,0.5757,-0.9833,-0.8674,0.3771,-0.3884
1969-12-26,0.106,0.4471,-0.7981,-0.4632,-1.0057,-1.2166
1970-01-02,0.107,1.3797,0.7527,-0.4637,-0.8857,-0.7968
1970-01-09,0.1373,-0.5659,1.9423,0.2355,-1.0164,1.5153
1970-01-16,0.1373,-1.8432,-0.0572,1.1967,1.5426,1.6467
1970-01-23,0.1373,-2.016,0.6296,1.0216,0.0056,0.6324
1970-01-30,0.1373,-4.9017,0.2029,1.1822,-0.5033,0.7635
1970-02-06,0.1619,1.5259,-0.8796,-0.1311,-0.4088,0.3508
1970-02-13,0.1619,0.3238,-0.0389,0.2725,0.6279,1.2748
1970-02-20,0.1619,1.5179,-1.2244,0.5124,-0.9085,-0.8775
1970-02-27,0.1295,1.6429,-0.2647,1.092,-1.3336,-0.6306
1970-03-06,0.1317,-0.2581,0.63,1.7708,-0.6603,1.6154
1970-03-13,0.1317,-2.208,-0.4569,0.9871,-0.1361,0.8682
1970-03-20,0.1317,-1.3007,-1.0269,0.9899,-0.0202,1.0703
1970-03-26,0.1053,3.1381,-0.4098,-0.3626,-0.0997,-0.0665
1970-04-03,0.1246,-0.7732,0.1826,1.2257,0.2676,0.0348
1970-04-10,0.1199,-1.9224,-1.3433,1.6126,0.005,2.4752
