Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG,CRD,LIQ
2004-03,-1.32,2.1,0.27,1.56,-0.98,0.09,0.17,2.5218,-0.7352,1.7567,-1.0578,2.929529051818136,0.1802192358755894
2004-04,-1.83,-2.01,-3.1,3.45,-2.84,0.08,-5.38,-3.2185,-2.9001,0.0193,1.427,1.0187857126129574,-4.19020368775469
2004-05,1.17,-0.38,-0.25,-1.18,0.03,0.06,1.5,-0.3819,0.551,1.068,-0.2178,1.070243277554872,2.075021564800128
2004-06,1.86,2.56,1.18,1.2,-0.39,0.08,2.05,2.2399,-0.2618,0.5621,0.6322,-0.385733254363374,0.3415882352644006
2004-07,-4.06,-2.95,3.24,5.32,-1.66,0.1,-2.29,-3.3502,-0.9772,2.4066,3.0646,-3.0374441758695747,-5.769569780149652
2004-08,0.08,-1.13,0.97,1.23,-1.47,0.11,-1.59,-1.5163,-1.1997,-1.2272,0.176,0.4651060407667717,-4.988195688107555
2004-09,1.6,3.27,0.0,-1.49,-1.88,0.11,5.49,3.7951,-2.2121,-0.2123,-1.6176,1.3412537000629277,5.719343312207159
2004-10,1.43,0.19,-0.22,-0.52,0.49,0.11,-1.38,-0.7841,0.584,-1.4399,0.0033,-1.4258613014083377,2.5956748576344335
2004-11,4.54,4.11,1.41,-0.58,-0.22,0.15,3.16,4.4728,-0.4263,-1.1342,-1.6565,0.0160962642630879,2.9263852353772712
2004-12,3.43,-0.05,-0.22,-1.16,0.46,0.16,-2.87,-0.0411,0.3018,-0.8598,-1.1293,2.384365100634289,2.285947582358716
2005-01,-2.76,-1.17,2.06,2.74,-1.46,0.16,3.05,-0.3941,-0.4036,3.2457,1.2576,2.3638093509112057,1.6522855968082562
2005-02,1.89,-0.31,1.54,1.43,-0.05,0.16,3.37,0.1469,0.2917,3.5726,0.6662,-0.1672057561686202,4.184565352137337
2005-03,-1.97,-1.42,2.04,0.47,1.29,0.21,0.41,-1.7448,0.9394,0.535,1.8949,-1.688076021928997,-1.456238265294818
2005-04,-2.61,-3.98,0.07,0.97,-0.94,0.21,-0.69,-4.4794,-1.4563,-1.1019,2.1604,-1.0758673393317375,-5.06218472638974
2005-05,3.65,2.79,-0.64,-1.0,0.3,0.24,0.45,2.9656,-0.0579,0.9641,0.4214,3.080451590483557,5.181149515149297
2005-06,0.57,3.28,2.83,0.96,-0.51,0.23,2.05,3.8096,-0.1983,-0.4264,-0.4164,-2.070924247253026,-0.9193714498125338
2005-07,3.92,2.81,-0.79,-1.19,-0.82,0.24,0.06,2.7333,-2.0714,-0.2083,-0.4054,2.2933191084364646,5.4062329861360725
2005-08,-1.22,-0.89,1.32,-2.05,0.37,0.3,2.08,-0.7913,0.2355,-0.6848,-0.6039,-0.2619021000079602,0.508331987365751
2005-09,0.49,-0.34,0.71,0.27,-0.6,0.29,3.43,0.0044,-0.0266,0.8619,0.2637,-2.245806539556894,0.8838114608613168
2005-10,-2.02,-1.45,0.42,-0.93,-1.3,0.27,-1.39,-0.5108,-0.3149,1.1011,-0.5498,3.844101269850597,-0.2013130291140918
2005-11,3.61,0.84,-1.16,-0.76,-1.14,0.31,0.35,1.2182,-1.0482,0.7751,-0.6043,1.8286946227555667,5.316819918385796
2005-12,-0.25,-0.2,0.2,0.21,0.23,0.32,0.77,-0.0336,0.8804,0.2287,1.093,-2.2947352395251253,0.4908444424603475
2006-01,3.04,5.75,1.08,-0.64,-0.46,0.35,2.53,6.4413,-0.6797,-0.2611,0.8783,-0.4278533524665118,6.035676262179135
2006-02,-0.3,-0.42,-0.34,-0.51,1.91,0.34,-1.84,-0.395,2.4381,-0.9978,-1.0257,-1.8730056070906944,-2.139361232704018
2006-03,1.46,3.38,0.6,0.06,-0.41,0.37,1.26,3.1221,-1.3435,0.7652,-0.7877,3.996818245880674,3.6592130319900606
