Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1973-04,   -5.68,   -2.90,    5.41,   -1.58,    2.60,    0.52,   6.36
1973-05,   -2.94,   -6.17,    0.41,    1.95,   -1.57,    0.51,   7.14
1973-06,   -1.57,   -2.48,    1.20,   -0.21,    0.11,    0.51,   4.30
1973-07,    5.05,    7.26,   -5.31,   -0.05,   -3.28,    0.64, -11.57
1973-08,   -3.82,   -1.84,    1.24,   -1.31,    1.30,    0.70,   3.46
1973-09,    4.75,    3.60,    2.01,   -2.33,    1.77,    0.68,  -7.00
1973-10,   -0.83,   -0.38,    1.94,   -1.90,    2.71,    0.65,   6.87
1973-11,  -12.75,   -7.28,    3.87,   -2.63,    1.73,    0.56,   8.66
1973-12,    0.61,   -4.69,    3.85,   -2.78,    2.48,    0.64,  10.38
1974-01,   -0.17,   10.41,    6.02,   -3.07,    4.42,    0.63,  -8.85
1974-02,   -0.47,    0.06,    2.81,   -1.87,    2.63,    0.58,   0.32
1974-03,   -2.81,    2.65,   -0.32,    2.80,    0.44,    0.56,  -1.05
1974-04,   -5.29,   -0.70,    0.85,    2.87,    2.09,    0.75,   2.11
1974-05,   -4.68,   -3.07,   -2.02,    4.95,   -0.42,    0.75,  -0.39
1974-06,   -2.83,    0.00,    0.77,    0.57,    2.94,    0.60,   2.31
1974-07,   -8.05,    1.92,    5.16,   -3.25,    4.60,    0.70,   3.11
1974-08,   -9.35,    0.26,    2.64,   -0.28,    2.59,    0.60,   3.00
1974-09,  -11.77,    1.48,    5.58,   -4.44,    5.91,    0.81,   4.24
1974-10,   16.10,   -6.82,   -9.87,   -0.21,   -2.86,    0.51,  -0.54
1974-11,   -4.51,   -1.48,   -0.20,   -3.37,    2.92,    0.54,   2.13
1974-12,   -3.45,   -4.35,    0.11,   -0.68,    3.25,    0.70,   2.92
1975-01,   13.66,   12.91,    8.28,   -0.78,   -0.90,    0.58, -13.82
1975-02,    5.56,   -0.65,   -4.44,    1.16,   -2.10,    0.43,  -0.61
1975-03,    2.66,    4.00,    2.38,    1.26,   -1.33,    0.41,  -2.04
1975-04,    4.23,   -0.71,   -1.14,    1.41,   -1.34,    0.44,   1.38
1975-05,    5.19,    2.89,   -4.10,   -0.98,   -0.60,    0.44,  -0.58
1975-06,    4.83,    1.43,    1.38,   -2.66,    1.06,    0.41,   0.04
1975-07,   -6.59,    3.44,    1.69,    0.46,    1.22,    0.48,   0.42
1975-08,   -2.85,   -2.84,   -0.95,    1.11,   -0.93,    0.48,  -0.10
