Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1977-03,0.3769,-1.3685,1.477,-0.2503,0.3138,-0.3321
1977-04,0.4114,0.114,1.3098,1.1605,0.3746,0.7834
1977-05,0.3855,-1.4659,1.4822,0.2215,1.7144,2.6935
1977-06,0.3716,4.739,3.1075,-0.7125,2.3354,2.9427
1977-07,0.3873,-1.6568,0.9981,1.0573,1.6654,2.4073
1977-08,0.4993,-1.8072,-0.2601,-0.8401,1.421,-0.1136
1977-09,0.433,-0.2699,1.4975,-0.0956,1.4313,1.5155
1977-10,0.4943,-4.3863,1.4394,-0.6125,-1.0334,1.1568
1977-11,0.4959,3.999,4.6235,1.2408,2.6072,1.4818
1977-12,0.47,0.2831,1.447,0.1312,1.3266,1.8425
1978-01,0.5374,-6.0473,2.3472,0.9316,-1.8024,0.1592
1978-02,0.4941,-1.4121,4.1208,1.3398,0.0059,1.6506
1978-03,0.5017,2.8714,3.4262,2.4596,0.178,0.0973
1978-04,0.5712,7.826,-0.1618,-0.3298,5.6669,0.5831
1978-05,0.5317,1.7363,3.7406,0.8051,0.4743,0.7376
1978-06,0.5369,-1.6885,1.4427,0.4821,1.3479,1.1232
1978-07,0.5591,5.102,0.2704,0.3971,1.6329,2.6963
1978-08,0.555,3.7437,4.6893,1.196,2.0147,0.6661
1978-09,0.5964,-1.4064,-0.8226,0.4468,-3.4045,-0.8352
1978-10,0.7498,-11.9724,-10.1883,-0.5956,-2.2443,0.9893
1978-11,0.7041,2.7187,4.1542,-0.8624,1.31,1.5057
1978-12,0.7372,0.9239,0.9674,-1.7856,1.9383,2.5046
1979-01,0.7882,4.2089,4.0118,2.1569,-0.7747,-1.3434
1979-02,0.7324,-3.5587,0.3373,-0.1889,-2.2888,0.5501
1979-03,0.8928,5.5859,3.7194,1.3599,2.7614,0.6033
1979-04,0.8489,-0.1153,2.2869,1.0161,2.162,-0.3026
1979-05,0.8161,-2.2031,0.6535,-0.0723,-0.8405,0.543
1979-06,0.7858,3.8639,0.7612,-0.642,-0.9832,-1.8183
1979-07,0.841,0.7485,1.2433,0.7427,0.5163,-0.4344
1979-08,0.7506,5.5385,1.6648,-0.3503,2.9616,0.0183
1979-09,0.7732,-0.7533,0.0448,0.1081,0.7035,2.9999
1979-10,0.9621,-8.1773,-3.1723,0.072,1.0303,1.6857
1979-11,0.9878,5.2094,2.1523,-2.3923,2.3423,-0.3321
1979-12,1.0209,1.7155,3.9488,-1.0325,1.1576,-0.1427
1980-01,0.7968,5.4954,0.6856,1.6011,1.6908,0.5075
1980-02,1.0654,-1.3981,-1.2553,1.7384,2.2085,3.5215
1980-03,1.2009,-12.8931,-6.6311,0.4902,-1.0561,-0.8975
